NORAD ID,Signal,Frequency(MHz),Modulation,P(dBW),G(dBi)
26360,L1:C/A,1575.42,BPSK(1),16.5,13.5
26360,L1:P(Y),1575.42,BPSK(10),13.5,13.5
26360,L2:P(Y),1227.6,BPSK(10),10.0,10.0
26605,L1:C/A,1575.42,BPSK(1),16.5,13.5
26605,L1:P(Y),1575.42,BPSK(10),13.5,13.5
26605,L2:P(Y),1227.6,BPSK(10),10.0,10.0
27663,L1:C/A,1575.42,BPSK(1),16.5,13.5
27663,L1:P(Y),1575.42,BPSK(10),13.5,13.5
27663,L2:P(Y),1227.6,BPSK(10),10.0,10.0
27704,L1:C/A,1575.42,BPSK(1),16.5,13.5
27704,L1:P(Y),1575.42,BPSK(10),13.5,13.5
27704,L2:P(Y),1227.6,BPSK(10),10.0,10.0
29486,L1:C/A,1575.42,BPSK(1),16.5,13.5
29486,L1:P(Y),1575.42,BPSK(10),13.5,13.5
29486,L2:P(Y),1227.6,BPSK(10),10.0,10.0
29486,L1:M,1575.42,"BOC(10,5)",18.2,13.5
29486,L2:L2C,1227.6,BPSK(1),10.0,10.0
29601,L1:C/A,1575.42,BPSK(1),16.5,13.5
29601,L1:P(Y),1575.42,BPSK(10),13.5,13.5
29601,L2:P(Y),1227.6,BPSK(10),10.0,10.0
29601,L1:M,1575.42,"BOC(10,5)",18.2,13.5
29601,L2:L2C,1227.6,BPSK(1),10.0,10.0
32260,L1:C/A,1575.42,BPSK(1),16.5,13.5
32260,L1:P(Y),1575.42,BPSK(10),13.5,13.5
32260,L2:P(Y),1227.6,BPSK(10),10.0,10.0
32260,L1:M,1575.42,"BOC(10,5)",18.2,13.5
32260,L2:L2C,1227.6,BPSK(1),10.0,10.0
32384,L1:C/A,1575.42,BPSK(1),16.5,13.5
32384,L1:P(Y),1575.42,BPSK(10),13.5,13.5
32384,L2:P(Y),1227.6,BPSK(10),10.0,10.0
32384,L1:M,1575.42,"BOC(10,5)",18.2,13.5
32384,L2:L2C,1227.6,BPSK(1),10.0,10.0
36585,L1:C/A,1575.42,BPSK(1),16.5,13.5
36585,L1:P(Y),1575.42,BPSK(10),13.5,13.5
36585,L2:P(Y),1227.6,BPSK(10),10.0,10.0
36585,L1:M,1575.42,"BOC(10,5)",18.2,13.5
36585,L2:L2C,1227.6,BPSK(1),10.0,10.0
36585,L2:M,1227.6,"BOC(10,5)",16.0,13.5
36585,L5:L5I,1176.45,BPSK(10),18.0,18.0
38833,L1:C/A,1575.42,BPSK(1),16.5,13.5
38833,L1:P(Y),1575.42,BPSK(10),13.5,13.5
38833,L2:P(Y),1227.6,BPSK(10),10.0,10.0
38833,L1:M,1575.42,"BOC(10,5)",18.2,13.5
38833,L2:L2C,1227.6,BPSK(1),10.0,10.0
38833,L2:M,1227.6,"BOC(10,5)",16.0,13.5
38833,L5:L5I,1176.45,BPSK(10),18.0,18.0
40534,L1:C/A,1575.42,BPSK(1),16.5,13.5
40534,L1:P(Y),1575.42,BPSK(10),13.5,13.5
40534,L2:P(Y),1227.6,BPSK(10),10.0,10.0
40534,L1:M,1575.42,"BOC(10,5)",18.2,13.5
40534,L2:L2C,1227.6,BPSK(1),10.0,10.0
40534,L2:M,1227.6,"BOC(10,5)",16.0,13.5
40534,L5:L5I,1176.45,BPSK(10),18.0,18.0
41019,L1:C/A,1575.42,BPSK(1),16.5,13.5
41019,L1:P(Y),1575.42,BPSK(10),13.5,13.5
41019,L2:P(Y),1227.6,BPSK(10),10.0,10.0
41019,L1:M,1575.42,"BOC(10,5)",18.2,13.5
41019,L2:L2C,1227.6,BPSK(1),10.0,10.0
41019,L2:M,1227.6,"BOC(10,5)",16.0,13.5
41019,L5:L5I,1176.45,BPSK(10),18.0,18.0
41328,L1:C/A,1575.42,BPSK(1),16.5,13.5
41328,L1:P(Y),1575.42,BPSK(10),13.5,13.5
41328,L2:P(Y),1227.6,BPSK(10),10.0,10.0
41328,L1:M,1575.42,"BOC(10,5)",18.2,13.5
41328,L2:L2C,1227.6,BPSK(1),10.0,10.0
41328,L2:M,1227.6,"BOC(10,5)",16.0,13.5
41328,L5:L5I,1176.45,BPSK(10),18.0,18.0
29671,L1:L1OF(C/A),1598.0625,BPSK(0.5),10.0,10.0
29671,L1:L1SF(P),1598.0625,BPSK(5),10.0,10.0
29671,L2:L2OF(C/A),1242.9375,BPSK(0.5),10.0,10.0
29671,L2:L2SF(P),1242.9375,BPSK(5),10.0,10.0
36112,L1:L1OF(C/A),1599.75,BPSK(0.5),10.0,10.0
36112,L1:L1SF(P),1599.75,BPSK(5),10.0,10.0
36112,L2:L2OF(C/A),1244.25,BPSK(0.5),10.0,10.0
36112,L2:L2SF(P),1244.25,BPSK(5),10.0,10.0
37139,L1:L1OF(C/A),1601.4375,BPSK(0.5),10.0,10.0
37139,L1:L1SF(P),1601.4375,BPSK(5),10.0,10.0
37139,L2:L2OF(C/A),1245.5625,BPSK(0.5),10.0,10.0
37139,L2:L2SF(P),1245.5625,BPSK(5),10.0,10.0
37868,L1:L1OF(C/A),1604.8125,BPSK(0.5),10.0,10.0
37868,L1:L1SF(P),1604.8125,BPSK(5),10.0,10.0
37868,L2:L2OF(C/A),1248.1875,BPSK(0.5),10.0,10.0
37868,L2:L2SF(P),1248.1875,BPSK(5),10.0,10.0
37869,L1:L1OF(C/A),1605.375,BPSK(0.5),10.0,10.0
37869,L1:L1SF(P),1605.375,BPSK(5),10.0,10.0
37869,L2:L2OF(C/A),1248.625,BPSK(0.5),10.0,10.0
37869,L2:L2SF(P),1248.625,BPSK(5),10.0,10.0
40315,L1:L1OF(C/A),1600.875,BPSK(0.5),10.0,10.0
40315,L1:L1SF(P),1600.875,BPSK(5),10.0,10.0
40315,L2:L2OF(C/A),1245.125,BPSK(0.5),10.0,10.0
