NORAD ID,Signal,Frequency(MHz),Modulation,P(dBW),G(dBi)
39166,L2:L2C,1227.6,BPSK(1),10.0,10.0
39166,L2:M,1227.6,"BOC(10,5)",16.0,13.5
39166,L5:L5I,1176.45,BPSK(10),18.0,18.0
40105,L1:C/A,1575.42,BPSK(1),16.5,13.5
40105,L1:P(Y),1575.42,BPSK(10),13.5,13.5
40105,L2:P(Y),1227.6,BPSK(10),10.0,10.0
40105,L1:M,1575.42,"BOC(10,5)",18.2,13.5
40105,L2:L2C,1227.6,BPSK(1),10.0,10.0
40105,L2:M,1227.6,"BOC(10,5)",16.0,13.5
40105,L5:L5I,1176.45,BPSK(10),18.0,18.0
40294,L1:C/A,1575.42,BPSK(1),16.5,13.5
40294,L1:P(Y),1575.42,BPSK(10),13.5,13.5
40294,L2:P(Y),1227.6,BPSK(10),10.0,10.0
40294,L1:M,1575.42,"BOC(10,5)",18.2,13.5
40294,L2:L2C,1227.6,BPSK(1),10.0,10.0
40294,L2:M,1227.6,"BOC(10,5)",16.0,13.5
40294,L5:L5I,1176.45,BPSK(10),18.0,18.0
40534,L1:C/A,1575.42,BPSK(1),16.5,13.5
40534,L1:P(Y),1575.42,BPSK(10),13.5,13.5
40534,L2:P(Y),1227.6,BPSK(10),10.0,10.0
40534,L1:M,1575.42,"BOC(10,5)",18.2,13.5
40534,L2:L2C,1227.6,BPSK(1),10.0,10.0
40534,L2:M,1227.6,"BOC(10,5)",16.0,13.5
40534,L5:L5I,1176.45,BPSK(10),18.0,18.0
40730,L1:C/A,1575.42,BPSK(1),16.5,13.5
40730,L1:P(Y),1575.42,BPSK(10),13.5,13.5
40730,L2:P(Y),1227.6,BPSK(10),10.0,10.0
40730,L1:M,1575.42,"BOC(10,5)",18.2,13.5
40730,L2:L2C,1227.6,BPSK(1),10.0,10.0
40730,L2:M,1227.6,"BOC(10,5)",16.0,13.5
40730,L5:L5I,1176.45,BPSK(10),18.0,18.0
41328,L1:C/A,1575.42,BPSK(1),16.5,13.5
41328,L1:P(Y),1575.42,BPSK(10),13.5,13.5
41328,L2:P(Y),1227.6,BPSK(10),10.0,10.0
41328,L1:M,1575.42,"BOC(10,5)",18.2,13.5
41328,L2:L2C,1227.6,BPSK(1),10.0,10.0
41328,L2:M,1227.6,"BOC(10,5)",16.0,13.5
41328,L5:L5I,1176.45,BPSK(10),18.0,18.0
32393,L1:L1OF(C/A),1600.875,BPSK(0.5),10.0,10.0
32393,L1:L1SF(P),1600.875,BPSK(5),10.0,10.0
32393,L2:L2OF(C/A),1245.125,BPSK(0.5),10.0,10.0
32393,L2:L2SF(P),1245.125,BPSK(5),10.0,10.0
32395,L1:L1OF(C/A),1601.4375,BPSK(0.5),10.0,10.0
32395,L1:L1SF(P),1601.4375,BPSK(5),10.0,10.0
32395,L2:L2OF(C/A),1245.5625,BPSK(0.5),10.0,10.0
32395,L2:L2SF(P),1245.5625,BPSK(5),10.0,10.0
36111,L1:L1OF(C/A),1602.5625,BPSK(0.5),10.0,10.0
36111,L1:L1SF(P),1602.5625,BPSK(5),10.0,10.0
