NORAD ID,Name 1562857793,Name 1556138397,Name 1554156377,Name 1553966342,Name 1551055211,Satellite,Constellation,Generation,Observations
29601,GPS-BIIRM-3-(PRN-12),GPS-BIIRM-3-(PRN-12),GPS-BIIRM-3-(PRN-12),GPS-BIIRM-3-(PRN-12),GPS-BIIRM-3-(PRN-12),GPS-BIIRM-3,GPS,IIRM,17/11/2006 - 
32260,GPS-BIIRM-4-(PRN-15),GPS-BIIRM-4-(PRN-15),GPS-BIIRM-4-(PRN-15),GPS-BIIRM-4-(PRN-15),GPS-BIIRM-4-(PRN-15),GPS-BIIRM-4,GPS,IIRM,17/10/2007 - 
32384,GPS-BIIRM-5-(PRN-29),GPS-BIIRM-5-(PRN-29),GPS-BIIRM-5-(PRN-29),GPS-BIIRM-5-(PRN-29),GPS-BIIRM-5-(PRN-29),GPS-BIIRM-5,GPS,IIRM,20/12/2007 - 
32711,GPS-BIIRM-6-(PRN-07),GPS-BIIRM-6-(PRN-07),GPS-BIIRM-6-(PRN-07),GPS-BIIRM-6-(PRN-07),GPS-BIIRM-6-(PRN-07),GPS-BIIRM-6,GPS,IIRM,15/03/2008 - 
34661,,,,,,GPS-BIIRM-7,GPS,IIRM,24/03/2009 - 06/05/2011 (with L5) and 27/10/2022 - (without L5)
35752,GPS-BIIRM-8-(PRN-05),GPS-BIIRM-8-(PRN-05),GPS-BIIRM-8-(PRN-05),GPS-BIIRM-8-(PRN-05),GPS-BIIRM-8-(PRN-05),GPS-BIIRM-8,GPS,IIRM,17/08/2009 - 
36585,GPS-BIIF-1-(PRN-25),GPS-BIIF-1-(PRN-25),GPS-BIIF-1-(PRN-25),GPS-BIIF-1-(PRN-25),GPS-BIIF-1-(PRN-25),GPS-BIIF-1,GPS,IIF,28/05/2010 - 
37753,GPS-BIIF-2-(PRN-01),GPS-BIIF-2-(PRN-01),GPS-BIIF-2-(PRN-01),GPS-BIIF-2-(PRN-01),GPS-BIIF-2-(PRN-01),GPS-BIIF-2,GPS,IIF,16/07/2011 - 10/08/2023
38833,GPS-BIIF-3-(PRN-24),GPS-BIIF-3-(PRN-24),GPS-BIIF-3-(PRN-24),GPS-BIIF-3-(PRN-24),GPS-BIIF-3-(PRN-24),GPS-BIIF-3,GPS,IIF,4/10/2012 - 
39166,GPS-BIIF-4-(PRN-27),GPS-BIIF-4-(PRN-27),GPS-BIIF-4-(PRN-27),GPS-BIIF-4-(PRN-27),GPS-BIIF-4-(PRN-27),GPS-BIIF-4,GPS,IIF,15/05/2013 - 
39533,GPS-BIIF-5-(PRN-30),GPS-BIIF-5-(PRN-30),GPS-BIIF-5-(PRN-30),GPS-BIIF-5-(PRN-30),GPS-BIIF-5-(PRN-30),GPS-BIIF-5,GPS,IIF,21/02/2014 - 
39741,GPS-BIIF-6-(PRN-06),GPS-BIIF-6-(PRN-06),GPS-BIIF-6-(PRN-06),GPS-BIIF-6-(PRN-06),GPS-BIIF-6-(PRN-06),GPS-BIIF-6,GPS,IIF,17/05/2014 - 
40105,GPS-BIIF-7-(PRN-09),GPS-BIIF-7-(PRN-09),GPS-BIIF-7-(PRN-09),GPS-BIIF-7-(PRN-09),GPS-BIIF-7-(PRN-09),GPS-BIIF-7,GPS,IIF,02/08/2014 - 
40294,GPS-BIIF-8-(PRN-03),GPS-BIIF-8-(PRN-03),GPS-BIIF-8-(PRN-03),GPS-BIIF-8-(PRN-03),GPS-BIIF-8-(PRN-03),GPS-BIIF-8,GPS,IIF,29/10/2014 - 
40534,GPS-BIIF-9-(PRN-26),GPS-BIIF-9-(PRN-26),GPS-BIIF-9-(PRN-26),GPS-BIIF-9-(PRN-26),GPS-BIIF-9-(PRN-26),GPS-BIIF-9,GPS,IIF,25/03/2015 - 
40730,GPS-BIIF-10-(PRN-08),GPS-BIIF-10-(PRN-08),GPS-BIIF-10-(PRN-08),GPS-BIIF-10-(PRN-08),GPS-BIIF-10-(PRN-08),GPS-BIIF-10,GPS,IIF,15/07/2015 - 
41019,GPS-BIIF-11-(PRN-10),GPS-BIIF-11-(PRN-10),GPS-BIIF-11-(PRN-10),GPS-BIIF-11-(PRN-10),GPS-BIIF-11-(PRN-10),GPS-BIIF-11,GPS,IIF,31/10/2015 - 
41328,GPS-BIIF-12-(PRN-32),GPS-BIIF-12-(PRN-32),GPS-BIIF-12-(PRN-32),GPS-BIIF-12-(PRN-32),GPS-BIIF-12-(PRN-32),GPS-BIIF-12,GPS,IIF,5/02/2016 - 
43873,,,,,,GPS BIII-1,GPS,III,23/12/2018 - (but started operating on 01/2020)
44506,,,,,,GPS BIII-2,GPS,III,22/08/2019 - 
45854,,,,,,GPS BIII-3,GPS,III,30/06/2020 - 
46826,,,,,,GPS BIII-4,GPS,III,5/11/2020 - 
48859,,,,,,GPS BIII-5,GPS,III,17/06/2021 - 
55268,,,,,,GPS BIII-6,GPS,III,18/01/2023 - 
62339,,,,,,GPS BIII-7,GPS,III,17/12/2024 - 
64202,,,,,,GPS BIII-8,GPS,III,30/05/2025 - 
67588,,,,,,GPS BIII-9,GPS,III,28/01/2026 - 
68791,,,,,,GPS BIII-10,GPS,III,21/04/2026 - 
28112,,,,,,COSMOS 2404,GLONASS,M,10/12/2003 - 18/06/2009
28509,,,,,,COSMOS 2413,GLONASS,M,26/12/2004 - 22/11/2012
28915,,,,,,COSMOS 2419,GLONASS,M,25/12/2005 - 24/02/2016
28916,,,,,,COSMOS 2418,GLONASS,M,25/12/2005 - 2/11/2009
29670,,,COSMOS-2425-(716),COSMOS-2425-(716),COSMOS-2425-(716),COSMOS 2425,GLONASS,M,25/12/2006 - 20/07/2021 (stopped emitting in 2018 probably)
29671,COSMOS-2426-(717),COSMOS-2426-(717),COSMOS-2426-(717),COSMOS-2426-(717),COSMOS-2426-(717),COSMOS 2426,GLONASS,M,25/12/2006 - 1/08/2019
29672,,,,,,COSMOS 2424,GLONASS,M,25/12/2006 - 26/07/2017
32275,COSMOS-2433-(720),COSMOS-2433-(720),COSMOS-2433-(720),COSMOS-2433-(720),COSMOS-2433-(720),COSMOS 2433,GLONASS,M,26/10/2007 - 
32276,COSMOS-2432-(719),COSMOS-2432-(719),COSMOS-2432-(719),COSMOS-2432-(719),COSMOS-2432-(719),COSMOS 2432,GLONASS,M,26/10/2007 - 
32277,,,,,,COSMOS 2431,GLONASS,M,26/10/2007 - 29/11/2010
32393,COSMOS-2434-(721),COSMOS-2434-(721),COSMOS-2434-(721),COSMOS-2434-(721),COSMOS-2434-(721),COSMOS 2434,GLONASS,M,25/12/2007 - 
32394,,,,,,COSMOS 2435,GLONASS,M,25/12/2007 - 12/10/2011
32395,,COSMOS-2436-(723),COSMOS-2436-(723),COSMOS-2436-(723),COSMOS-2436-(723),COSMOS 2436,GLONASS,M,25/12/2007 - 19/06/2019 (without L2 signal)
33378,,,,,,COSMOS 2442,GLONASS,M,25/09/2008 - 12/02/2014
33379,,,,,,COSMOS 2443,GLONASS,M,25/09/2008 - 8/07/2016
33380,,,,,,COSMOS 2444,GLONASS,M,25/09/2008 - 28/11/2012
33466,,,,,,COSMOS 2447,GLONASS,M,25/12/2008 - 28/11/2012
33467,,,,,,COSMOS 2449,GLONASS,M,25/12/2008 - 9/09/2012
33468,,,,,,COSMOS 2448,GLONASS,M,25/12/2008 - 16/10/2013
36111,COSMOS-2456-(730),COSMOS-2456-(730),COSMOS-2456-(730),COSMOS-2456-(730),COSMOS-2456-(730),COSMOS 2456,GLONASS,M,14/12/2009 - 
36112,COSMOS-2457-(733),COSMOS-2457-(733),COSMOS-2457-(733),COSMOS-2457-(733),COSMOS-2457-(733),COSMOS 2457,GLONASS,M,14/12/2009 - 25/12/2025
36113,,,,,COSMOS-2458-(734),COSMOS 2458,GLONASS,M,14/12/2009 - 6/08/2018
36400,COSMOS-2459-(731),COSMOS-2459-(731),COSMOS-2459-(731),COSMOS-2459-(731),COSMOS-2459-(731),COSMOS 2459,GLONASS,M,1/03/2010 - 10/03/2021
36401,COSMOS-2461-(735),COSMOS-2461-(735),COSMOS-2461-(735),COSMOS-2461-(735),COSMOS-2461-(735),COSMOS 2461,GLONASS,M,1/03/2010 - 10/11/2022
36402,COSMOS-2460-(732),COSMOS-2460-(732),COSMOS-2460-(732),COSMOS-2460-(732),COSMOS-2460-(732),COSMOS 2460,GLONASS,M,1/03/2010 - (without L2 signal)
37139,COSMOS-2464-(736),COSMOS-2464-(736),COSMOS-2464-(736),COSMOS-2464-(736),COSMOS-2464-(736),COSMOS 2464,GLONASS,M,2/09/2010 - 3/12/2022
37140,,,,,,COSMOS 2465,GLONASS,M,2/09/2010 - 21/11/2016
37141,,,,,,COSMOS 2466,GLONASS,M,2/09/2010 - 15/12/2016
37829,COSMOS-2474-(742),COSMOS-2474-(742),COSMOS-2474-(742),COSMOS-2474-(742),COSMOS-2474-(742),COSMOS 2474,GLONASS,M,2/10/2011 - 26/08/2019
37867,COSMOS-2476-(744),COSMOS-2476-(744),COSMOS-2476-(744),COSMOS-2476-(744),COSMOS-2476-(744),COSMOS 2476,GLONASS,M,4/11/2011 - (in maintenance since the 2020s)
37868,COSMOS-2477-(745),COSMOS-2477-(745),COSMOS-2477-(745),COSMOS-2477-(745),COSMOS-2477-(745),COSMOS 2477,GLONASS,M,4/11/2011 - 
37869,COSMOS-2475-(743),COSMOS-2475-(743),COSMOS-2475-(743),COSMOS-2475-(743),COSMOS-2475-(743),COSMOS 2475,GLONASS,M,4/11/2011 - 
37938,,,,,,COSMOS 2478,GLONASS,M,28/11/2011 - 13/04/2015
39155,COSMOS-2485-(747),COSMOS-2485-(747),COSMOS-2485-(747),COSMOS-2485-(747),COSMOS-2485-(747),COSMOS 2485,GLONASS,M,26/04/2013 - 
39620,COSMOS-2492-(754),COSMOS-2492-(754),COSMOS-2492-(754),COSMOS-2492-(754),COSMOS-2492-(754),COSMOS 2492,GLONASS,M,23/03/2014 - 
40001,COSMOS-2500-(755),COSMOS-2500-(755),COSMOS-2500-(755),COSMOS-2500-(755),COSMOS-2500-(755),COSMOS 2500,GLONASS,M+,14/07/2014 - 
41330,COSMOS-2514-(751),COSMOS-2514-(751),COSMOS-2514-(751),COSMOS-2514-(751),COSMOS-2514-(751),COSMOS 2514,GLONASS,M+,7/02/2016 - 
41554,COSMOS-2516-(753),COSMOS-2516-(753),COSMOS-2516-(753),COSMOS-2516-(753),COSMOS-2516-(753),COSMOS 2516,GLONASS,M+,29/05/2016 - 11/2020
42939,COSMOS-2522-(752),COSMOS-2522-(752),COSMOS-2522-(752),COSMOS-2522-(752),COSMOS-2522-(752),COSMOS 2522,GLONASS,M+,22/09/2017 - 
43508,COSMOS-2527-(756),COSMOS-2527-(756),COSMOS-2527-(756),COSMOS-2527-(756),COSMOS-2527-(756),COSMOS 2527,GLONASS,M+,17/06/2018 - 
43687,COSMOS-2529-(757),COSMOS-2529-(757),COSMOS-2529-(757),COSMOS-2529-(757),COSMOS-2529-(757),COSMOS 2529,GLONASS,M+,3/11/2018 - 
44299,COSMOS-2534-(758),,,,,COSMOS 2534,GLONASS,M+,27/05/2019 - 
44850,,,,,,COSMOS 2544,GLONASS,M+,11/12/2019 - 
45358,,,,,,COSMOS 2545,GLONASS,M+,16/03/2020 - 
54377,,,,,,COSMOS 2564,GLONASS,M+,28/11/2022 - 
37372,COSMOS-2471-(701K),COSMOS-2471-(701K),COSMOS-2471-(701K),COSMOS-2471-(701K),COSMOS-2471-(701K),COSMOS 2471,GLONASS,K1,26/02/2011 - 12/11/2021
40315,COSMOS-2501-(702K),COSMOS-2501-(702K),COSMOS-2501-(702K),COSMOS-2501-(702K),COSMOS-2501-(702K),COSMOS 2501,GLONASS,K1,30/11/2014 - 
46805,,,,,,COSMOS 2547,GLONASS,K1+,25/10/2020 - 
52984,,,,,,COSMOS 2557,GLONASS,K1+,7/07/2022 - 
54031,,,,,,COSMOS 2559,GLONASS,K1+,10/10/2022 - 
65590,,,,,,COSMOS 2595,GLONASS,K1+,13/09/2025 - 
57517,,,,,,COSMOS 2569,GLONASS,K2,7/08/2023 - (currently a spare)
63130,,,,,,COSMOS 2584,GLONASS,K2,2/03/2025 - 
37846,GSAT0101-(PRN-E11),GSAT0101-(PRN-E11),GSAT0101-(PRN-E11),GSAT0101-(PRN-E11),GSAT0101-(PRN-E11),GSAT0101,GALILEO,IOV,21/10/2011 - 
37847,GSAT0102-(PRN-E12),GSAT0102-(PRN-E12),GSAT0102-(PRN-E12),GSAT0102-(PRN-E12),GSAT0102-(PRN-E12),GSAT0102,GALILEO,IOV,21/10/2011 - 
38857,GSAT0103-(PRN-E19),GSAT0103-(PRN-E19),GSAT0103-(PRN-E19),GSAT0103-(PRN-E19),GSAT0103-(PRN-E19),GSAT0103,GALILEO,IOV,12/10/2012 - 
38858,GSAT0104-(PRN-E20),GSAT0104-(PRN-E20),GSAT0104-(PRN-E20),GSAT0104-(PRN-E20),GSAT0104-(PRN-E20),GSAT0104,GALILEO,IOV,12/10/2012 - 16/04/2025 (with E5 signals turned off and the rest impacted)
40128,GSAT0201-(PRN-E18),GSAT0201-(PRN-E18),GSAT0201-(PRN-E18),GSAT0201-(PRN-E18),GSAT0201-(PRN-E18),GSAT0201,GALILEO,FOC,22/08/2014 - 18/02/2021
40129,GSAT0202-(PRN-E14),GSAT0202-(PRN-E14),GSAT0202-(PRN-E14),GSAT0202-(PRN-E14),GSAT0202-(PRN-E14),GSAT0202,GALILEO,FOC,22/08/2014 - 18/02/2021
40544,GSAT0203-(PRN-E26),GSAT0203-(PRN-E26),GSAT0203-(PRN-E26),GSAT0203-(PRN-E26),GSAT0203-(PRN-E26),GSAT0203,GALILEO,FOC,27/03/2015 - 
40545,GSAT0204-(PRN-E22),GSAT0204-(PRN-E22),GSAT0204-(PRN-E22),GSAT0204-(PRN-E22),GSAT0204-(PRN-E22),GSAT0204,GALILEO,FOC,27/03/2015 - 8/12/2017 (removed from active service but could still be transmitting)
40889,GSAT0205-(PRN-E24),GSAT0205-(PRN-E24),GSAT0205-(PRN-E24),GSAT0205-(PRN-E24),GSAT0205-(PRN-E24),GSAT0205,GALILEO,FOC,11/09/2015 - 15/12/2025
40890,GSAT0206-(PRN-E30),GSAT0206-(PRN-E30),GSAT0206-(PRN-E30),GSAT0206-(PRN-E30),GSAT0206-(PRN-E30),GSAT0206,GALILEO,FOC,11/09/2015 - 
41174,GSAT0209-(PRN-E09),GSAT0209-(PRN-E09),GSAT0209-(PRN-E09),GSAT0209-(PRN-E09),GSAT0209-(PRN-E09),GSAT0209,GALILEO,FOC,17/11/2016 - 
41175,GSAT0208-(PRN-E08),GSAT0208-(PRN-E08),GSAT0208-(PRN-E08),GSAT0208-(PRN-E08),GSAT0208-(PRN-E08),GSAT0208,GALILEO,FOC,17/12/2015 - 
41549,GSAT0211-(PRN-E02),GSAT0211-(PRN-E02),GSAT0211-(PRN-E02),GSAT0211-(PRN-E02),GSAT0211-(PRN-E02),GSAT0211,GALILEO,FOC,17/12/2015 - 
41550,GSAT0210-(PRN-E01),GSAT0210-(PRN-E01),GSAT0210-(PRN-E01),GSAT0210-(PRN-E01),GSAT0210-(PRN-E01),GSAT0210,GALILEO,FOC,24/05/2016 - 30/04/2023
41859,GSAT0207-(PRN-E07),GSAT0207-(PRN-E07),GSAT0207-(PRN-E07),GSAT0207-(PRN-E07),GSAT0207-(PRN-E07),GSAT0207,GALILEO,FOC,24/05/2016 - 
41860,GSAT0212-(PRN-E03),GSAT0212-(PRN-E03),GSAT0212-(PRN-E03),GSAT0212-(PRN-E03),GSAT0212-(PRN-E03),GSAT0212,GALILEO,FOC,17/11/2016 - 
41861,GSAT0213-(PRN-E04),GSAT0213-(PRN-E04),GSAT0213-(PRN-E04),GSAT0213-(PRN-E04),GSAT0213-(PRN-E04),GSAT0213,GALILEO,FOC,17/11/2016 - 
41862,GSAT0214-(PRN-E05),GSAT0214-(PRN-E05),GSAT0214-(PRN-E05),GSAT0214-(PRN-E05),GSAT0214-(PRN-E05),GSAT0214,GALILEO,FOC,17/11/2016 - 
