Satellite,NORAD ID,Constellation,Generation,Observations
COSMOS 2474,37829,GLONASS,M,2/10/2011 - 26/08/2019
COSMOS 2476,37867,GLONASS,M,4/11/2011 - (in maintenance since the 2020s)
COSMOS 2477,37868,GLONASS,M,4/11/2011 - 
COSMOS 2475,37869,GLONASS,M,4/11/2011 - 
COSMOS 2478,37938,GLONASS,M,28/11/2011 - 13/04/2015
COSMOS 2485,39155,GLONASS,M,26/04/2013 - 
COSMOS 2492,39620,GLONASS,M,23/03/2014 - 
COSMOS 2500,40001,GLONASS,M+,14/07/2014 - 
COSMOS 2514,41330,GLONASS,M+,7/02/2016 - 
COSMOS 2516,41554,GLONASS,M+,29/05/2016 - 11/2020
COSMOS 2522,42939,GLONASS,M+,22/09/2017 - 
COSMOS 2527,43508,GLONASS,M+,17/06/2018 - 
COSMOS 2529,43687,GLONASS,M+,3/11/2018 - 
COSMOS 2534,44299,GLONASS,M+,27/05/2019 - 
COSMOS 2544,44850,GLONASS,M+,11/12/2019 - 
COSMOS 2545,45358,GLONASS,M+,16/03/2020 - 
COSMOS 2564,54377,GLONASS,M+,28/11/2022 - 
COSMOS 2471,37372,GLONASS,K1,26/02/2011 - 12/11/2021
COSMOS 2501,40315,GLONASS,K1,30/11/2014 - 
COSMOS 2547,46805,GLONASS,K1+,25/10/2020 - 
COSMOS 2557,52984,GLONASS,K1+,7/07/2022 - 
COSMOS 2559,54031,GLONASS,K1+,10/10/2022 - 
COSMOS 2595,65590,GLONASS,K1+,13/09/2025 - 
COSMOS 2569,57517,GLONASS,K2,7/08/2023 - (currently a spare)
COSMOS 2584,63130,GLONASS,K2,2/03/2025 - 
GSAT0101,37846,GALILEO,IOV,21/10/2011 - 
GSAT0102,37847,GALILEO,IOV,21/10/2011 - 
GSAT0103,38857,GALILEO,IOV,12/10/2012 - 
GSAT0104,38858,GALILEO,IOV,12/10/2012 - 16/04/2025 (with E5 signals turned off and the rest impacted)
GSAT0201,40128,GALILEO,FOC,22/08/2014 - 18/02/2021
GSAT0202,40129,GALILEO,FOC,22/08/2014 - 18/02/2021
GSAT0203,40544,GALILEO,FOC,27/03/2015 - 
GSAT0204,40545,GALILEO,FOC,27/03/2015 - 8/12/2017 (removed from active service but could still be transmitting)
GSAT0205,40889,GALILEO,FOC,11/09/2015 - 15/12/2025
GSAT0206,40890,GALILEO,FOC,11/09/2015 - 
GSAT0207,41174,GALILEO,FOC,17/12/2015 - 
GSAT0208,41175,GALILEO,FOC,17/12/2015 - 
GSAT0209,41549,GALILEO,FOC,24/05/2016 - 30/04/2023
GSAT0210,41550,GALILEO,FOC,24/05/2016 - 
GSAT0211,41859,GALILEO,FOC,17/11/2016 - 
GSAT0212,41860,GALILEO,FOC,17/11/2016 - 
GSAT0213,41861,GALILEO,FOC,17/11/2016 - 
GSAT0214,41862,GALILEO,FOC,17/11/2016 - 
GSAT0215,43055,GALILEO,FOC,12/12/2017 - 
GSAT0216,43056,GALILEO,FOC,12/12/2017 - 
GSAT0217,43057,GALILEO,FOC,12/12/2017 - 
GSAT0218,43058,GALILEO,FOC,12/12/2017 - 
GSAT0219,43564,GALILEO,FOC,25/07/2018 - 
