NORAD ID,Signal,Frequency(MHz),Modulation,P(dBW),G(dBi)
40730,L1:C/A,1575.42,BPSK(1),16.5,13.5
40730,L1:L1C-D,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
40730,L1:M-D,1575.42,"BOC(10,5)",18.2,13.5
40730,L2:P(Y),1227.6,BPSK(10),10.0,10.0
40730,L2:L2CM,1227.6,BPSK(1),10.0,10.0
40730,L2:M-D,1227.6,"BOC(10,5)",16.0,13.5
40730,L5:L5I,1176.45,BPSK(10),18.0,18.0
41328,L1:P(Y),1575.42,BPSK(10),13.5,13.5
41328,L1:C/A,1575.42,BPSK(1),16.5,13.5
41328,L1:L1C-D,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
41328,L1:M-D,1575.42,"BOC(10,5)",18.2,13.5
41328,L2:P(Y),1227.6,BPSK(10),10.0,10.0
41328,L2:L2CM,1227.6,BPSK(1),10.0,10.0
41328,L2:M-D,1227.6,"BOC(10,5)",16.0,13.5
41328,L5:L5I,1176.45,BPSK(10),18.0,18.0
37846,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
37846,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
37846,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
37846,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
37846,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
37847,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
37847,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
37847,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
37847,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
37847,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
40128,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
40128,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
40128,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
40128,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
40128,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
40889,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
40889,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
40889,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
40889,E5ab:PRS(A),1191.795,"AltBOC(15,10)",10.0,10.0
40889,E5a:E5a-D,1176.45,"AltBOC(15,10)",6.0,6.0
41174,E1:OS-D(B),1575.42,"CBOC(6,1,1/11)",10.0,10.0
41174,E6:CS-P(C),1278.75,BPSK(5),16.0,15.0
41174,E6:PRS(A),1278.75,"BOCcos(10,5)",18.0,16.0
