Satellite,,,22877,25933,26605,27663,28129,28361,29486,29486,32711,32711,39166,39166,39166,39166,40105,40105,40105,40105,40294,40294,40294,40294,40534,40534,40534,40534,40730,40730,40730,40730,41328,41328,41328,41328,29671,29671,32276,32276,36111,36111,36400,36400,37868,37868,37869,37869,39155,39155,40001,40001,40001,41554,41554,41554,44299,44299,44299,37372,37372,37372,37847,37847,37847,38857,38857,38857,40129,40129,40129,40544,40544,40544,40889,40889,40889,41174,41174,41174,41550,41550,41550,41861,41861,41861,41862,41862,41862,43058,43058,43058,43565,43565,43565,38091,38091,38250,38250,38953,38953,40748,40748,41434,41434,43108,43108,43581,43581,43582,43582,43603,43603,43622,43622,43623,43623,43648,43648,43707,43707,44231,44231,39199,39199,39635,39635,40269,40269,41384,41384,43286,43286,37605,38652,38779,39617
Signal,,,L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:L2C,L2:P(Y),L2:L2C,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),B3:B3I,B2:B2I,B3:B3I,B2:B2I,B3:B3I,B2:B2I,B3:B3I,B2:B2ab,B3:B3I,B2:B2I,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2I,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:L5I,L5:L5I,L5:L5I,L5:L5I
Mask,CF,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deg1,1,,10.825433634393791,0.0,2.8703986998874242,4.97264640572899,3.9156490681123683,0.8666222411956808,2.1778108756824723,0.0,0.0,1.4959144267199553,1.5041425996605964,3.272241831236698,0.5934416610202878,0.0,0.8717419188049846,1.1166960509076644,0.20148209922871715,0.06884936237520986,0.0,0.0,0.24773784842596777,0.5546376552732215,0.0,2.9131857651554416,0.0,0.0,0.0,0.9446272120714035,0.21062448685833754,0.0,0.534633900333469,0.0,0.04003912199498442,0.0,0.19845469851029884,0.0,0.96778883588761,6.03506210838233,0.09877633124749191,0.0,1.5760415939159502,0.0,0.23237194625733262,1.486643496385484,0.20856323169428057,0.29817940256863606,0.4143211543361887,0.0,1.2538078226728566,0.0,0.0,0.26260920834179075,0.0,0.0,0.5773319568772579,0.0,0.0,0.018915823075457798,0.0,7.8293316099199926,0.0,0.0,0.0,0.0,0.0,0.0,18.54466441394456,2.2412738762276554,1.8450270693309163,0.0,0.0,0.0,0.0,0.0,0.0,3.5243425275357265,0.0,0.0,0.0,1.3002314080807504,0.7021530768599615,0.05094112769308391,0.02470982504358945,0.013051153176008981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.673780452308051,0.0,0.0,0.0,0.0,2.3421165006585296,0.6009222915743715,0.0,6.013278306214725,0.0,0.0,0.0,0.0,0.0,0.0,2.0313385445951138,2.822817189229741,0.0920317873905893,0.0,0.0,0.0,0.0,0.29002560662458504,3.6940940223865457,0.0,0.0,0.0,11.993954036126047,0.5892760512835733,0.6052570181248406,0.4491348805108269,0.1625832156437518,0.4568322776082523,1.3178040354787701,0.0,0.0,0.0,0.0,0.0,0.1402981183922392,4.224096242254165,4.0824151321511
deg1,1,-2,8.600173413744,0.0,2.7749017674711505,4.997136371514257,3.3983077560582267,0.9427744490856872,2.02746473593207,0.0,0.0,1.4948945804675895,1.8602561356162708,3.2195538027322876,0.5887279451843569,0.0,0.9843152777858704,1.1129638540084579,0.200118741926737,0.06737349321277258,0.0,0.0,0.25123071884792264,0.5555081077702974,0.0,2.9419192030329224,0.0,0.0,0.0,0.9585606493516852,0.21152222300461693,0.0,0.7456774252601621,0.0,0.04076095441188441,0.0,0.198598784500438,0.0,0.97390073476908,5.968298522246233,0.10080501192690229,0.0,1.5763980638153297,0.0,0.23515112043036426,1.52512837142799,0.20864786920459766,0.2987933592526781,0.415179688005675,0.0,1.2587055716535476,0.0,0.0,0.2636590405260773,0.0,0.0,0.5782608435997233,0.0,0.0,0.021621727299758243,0.0,7.5874478568950385,0.0,0.0,0.0,0.0,0.0,0.0,18.51533005879973,2.241263655539208,1.845603817572691,0.0,0.0,0.0,0.0,0.0,0.0,3.52992052724946,0.0,0.0,0.0,1.300211222152337,0.7018938912384888,0.05094262695301039,0.024709608370897404,0.013050197703723976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6675007644194475,0.0,0.0,0.0,0.0,2.5566075694174115,0.6141312544858267,0.0,5.674140611180593,0.0,0.0,0.0,0.0,0.0,0.0,1.9895010564017792,2.8230877200847613,0.11330894899731173,0.0,0.0,0.0,0.0,0.2891820769559105,3.7089629027166717,0.0,0.0,0.0,11.72411964631399,0.589478167954381,0.6048211197270046,0.44861762534333965,0.16299579813621434,0.4643235547416149,1.3188337107275456,0.0,0.0,0.0,0.0,0.0,0.14236943558896442,4.177851717850244,4.0507154733374025
deg1,1,-1,3.5036742171862723,0.3764086643385439,2.460211853658387,5.0520990522309805,1.9966157695738633,1.1274316108629987,1.6818774675507382,0.0,0.0,1.4915773038474205,2.180628050299229,3.078065075350657,0.5754449060358954,0.0,1.2325252748711448,1.143603028355569,0.19277366305678487,0.053218762827954666,0.0,0.0,0.2673273350394848,0.575105802118384,0.806929608567554,2.9166715721862078,0.0,0.0,0.0,0.9969317095798353,0.2147601181172275,0.0,0.9971995480396537,0.0040287331206073015,0.04613162386584784,0.0,0.20093345865100096,0.0,1.0213546990060274,5.472762622738615,0.1164064757605287,0.0,1.5742736881638326,0.0,0.26223574896562996,1.7608151672284504,0.20932244556851945,0.30412740112475567,0.4227541584388691,0.0,1.2956703247357688,0.0,0.0,0.2716658451418532,0.0,0.0,0.5854137083753724,0.0,0.0,0.048279055779497704,0.0,6.095528333007434,0.0,0.0,0.0,0.0,0.0,0.0,18.152489473252515,2.2411833858819947,1.8485704898058382,0.0,0.0,0.0,0.0,0.0,0.0,3.4687595790285877,0.0,0.0,0.0,1.3000973196872532,0.7005268321898366,0.050982012980707224,0.02470898150876368,0.013052747987155226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.635402857595166,0.2598275228285769,0.0,0.0,0.0,3.8796444384547013,0.68389932764588,0.0,3.905231330634214,0.0,0.0,0.0,0.0,0.0,0.0,2.0507879343364044,2.8241831197833887,0.3437475858249105,0.0,0.0,0.0,0.0,0.28491939699704283,3.776375795844621,0.0,0.0,0.0,8.707120500283716,0.5971527402797344,0.6068220034298432,0.44033538509642917,0.1630925856585162,0.5262156237839376,1.3279107066872782,0.0,0.0,0.0,0.0,0.0,0.15806570281937526,3.75827258040719,3.911084793443648
deg1,1,0,1.312495157459165,0.9212543584714203,1.9044799967980244,3.7063166477369034,1.3535571350061792,1.125327827259924,1.1734993470437407,0.4400614375662376,0.9861874002560745,1.4310603090049094,1.478860487391101,2.2950019092984,0.5229130446138422,0.0,1.3246310314741678,1.524881678829162,0.161999654341179,0.0,1.2128085181609871,0.0050848192824916845,0.33771464504712706,0.7333903611410244,1.1872083654313612,2.054524685062589,0.0,0.0,0.23238573006128166,1.0837859375450085,0.22600457487995768,0.043041760008634855,1.0212709905397201,0.7932111527103821,0.09186491159097342,0.0,0.19261745387754045,0.0,1.2443029141524624,3.3630341642740706,0.18800099163106376,0.0,1.4271102421695263,0.3919868354427724,0.49484792732504795,1.871459542141537,0.2132844215211905,0.339168447781377,0.4602039069619296,0.0,1.438859699930307,0.0,0.0,0.3038003265930765,0.0,0.06514204305543636,0.6113503783307728,0.0,0.21854203304345504,0.15309470713451068,0.5169571189293923,2.623968236425859,0.0,0.0,0.0,0.0,0.0,0.0,15.670561899868384,2.2392383946599703,1.8554049156714596,0.0,0.0,0.0,0.4056092378384944,0.0,0.0,2.763250779661072,0.0,0.0,0.0,1.3004040829014238,0.6995768245207723,0.05129076747445364,0.024715655436171016,0.01309417078033758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777589994368209,0.9531667217365382,0.0,0.0,0.0,2.4903574977678855,0.7746654992562798,0.0,1.5720108922618046,0.5598869081986316,0.0,0.0,0.16980004147535466,0.0,0.0,1.4825738768341707,2.804760543982423,1.8132798466037248,0.0,0.0,0.0,0.2936078028859854,0.2749799044124082,3.836664870658551,0.0,0.0,0.0,3.2839105024979407,0.6195084969938099,0.6105318586015895,0.3287757379885374,0.18693899301053152,0.7605825502893491,1.1795490804604412,0.6399636918667396,0.0,0.0,0.0,0.0,0.20750796560297435,1.876563181124216,2.6919664148381273
deg1,1,1,1.034800937611037,0.9911757009178188,1.4190482088289065,1.842399566422885,1.1274331777038125,1.1389940439902728,1.0857760192206405,1.0202322128065937,1.340940311260733,1.3192503468765193,1.15813020744791,1.3003613603119661,0.45967036789560234,0.0,1.292926042284078,1.3598381091201626,0.10963551704616577,0.0,1.216512283343309,1.0619753375474776,0.4611299796805024,0.7291170184737195,1.1159637105609117,1.2481130062589292,0.0,0.0,1.130366235526684,1.1706119409783695,0.2706791300708182,0.22936119040823147,1.0205197919557392,1.0301674174341287,0.26680332525445577,0.0,0.25929568534802677,0.46664875114705234,1.272918343889602,1.3794008342842792,0.28904498245044047,0.25062747713314415,1.027518912459019,0.8736419177634859,0.844091507416157,1.1963336101692938,0.21573396349316235,0.3903145040160572,0.5330291839248553,0.5748831139422822,1.2276265270512712,0.6103054900954752,0.9070576818337771,0.312088101046723,0.0,0.8552865143665672,0.6184972841753164,0.23193146844110055,0.897223905296035,0.5380094277501019,0.8705509377616748,1.1863556484674298,0.7273794498661157,0.0,0.0,0.9182884551705918,0.16855592398745187,0.0,8.23051991304169,2.1513190668943616,1.874265479089566,1.1491069831043321,0.6338431157964687,0.0,1.3370388164456777,0.0,0.0,0.851963630524656,0.0,0.0,1.5815687710927233,1.1920499627320316,0.6849567309374315,0.052681412005873805,0.024787919174306703,0.013156052650887293,0.0,0.0,0.0,0.625230032823625,0.0,0.0,0.4087203101465828,0.0,0.0,1.525434847581772,1.4001126515821045,0.0,0.6115712671924343,0.6466546130003133,1.0871245543159131,0.8059439911681441,1.2077736102146943,1.0317078033507998,0.989633148411165,0.02591960244207398,0.3557460484379758,0.7204937379348287,1.0199830213508925,0.6289019910889302,0.9761670909253245,2.6617845493272316,4.49595854642702,0.0,0.0,0.0,0.7850981846479891,0.28697513730223984,2.7513366674867363,0.0,0.0,0.6496616665908268,1.184949413660306,0.40700365424542734,0.5476740845831368,0.26907615642718835,0.10420941547749597,0.9318617343879071,1.024766650643738,0.8751217663961621,0.6886991527253702,0.2602861601365813,0.09335007930866787,0.4311747497592625,0.09334425685886331,0.979414849486445,1.0682629216010295
deg1,1,2,1.010223662539,1.0055707547405202,1.0924131375951343,1.1796315163450235,1.027040057168632,1.1464065422867344,1.0277786471436434,1.039509545083332,1.131333779356747,1.173331778873354,1.041972595782879,1.0846050829227543,0.6207158509089309,0.24377604403816522,1.0842613568248312,1.1559579512203637,0.19543097850110533,0.0,1.057795887193429,1.08575281987766,0.4599965046301902,0.6021928822987281,1.0258066392041993,1.0698567799307421,0.42581079905902947,0.0,1.1150099905496098,1.1857051609602953,0.3906979554028814,0.430014067632824,1.0015574860816339,1.0149516490198982,0.645621199884532,0.016560218503987603,0.7326589847011392,0.8884026944953676,1.0146704460069038,0.9934532503925629,0.6216931259845283,0.7977927229974201,0.9769473192484063,0.9638716402450712,0.9625753488157868,1.008869410699743,0.23175312162106307,0.46743572009492795,0.8317637346907613,0.8902518541195464,1.0034273035722114,0.9232969733435187,1.0536773074948924,0.42481297737851986,0.6172200037717157,1.2501164458256453,0.7627551857050223,0.7752105003613323,1.1210882038572882,0.9026727121407591,0.9626207968062146,1.0627090448335934,1.0554605060794413,0.5641282184591269,0.34237799454174533,1.1640736321091474,0.8209325045339779,0.5627665064529623,3.216115346743756,1.5428785203721223,1.4682794164684216,1.241235515807258,0.9675029224696386,0.7982211873186504,1.1890744443129937,0.8397268119624985,0.7045610646233502,1.124971862827472,0.015351291471774714,0.0,1.7338705618699648,0.9450185549572615,0.4696181911692954,0.05505163656659501,0.02547998094093562,0.013347458457584747,0.9819110086989785,0.2295985323238339,0.11012595922296749,1.1612317413481694,0.5401923920046986,0.16903221353222425,1.2612538610462962,0.4711817841890529,0.2558731772941594,1.1192588361216154,1.6695389749186842,0.8693419562154046,1.2542717903605258,0.956319598901725,1.046642337380955,0.9957480672791502,1.3506257030382178,0.9968733811752667,1.01452547965279,0.8849734015518455,1.0914073022796793,0.9624886742897819,1.2880188856743016,0.9478605903016953,1.007812702539239,2.0742890865680472,3.5717758708090006,0.0,0.8848347296983665,0.16255529193770896,1.0739192307036114,0.6518375549541937,2.380558086065105,0.3300452973590728,0.8556755287161703,0.961672185776701,1.099107247997763,0.43046504840220956,0.39204990251020777,0.28411474947484033,0.13785961485189702,0.9416580866066818,0.9426047253675495,0.8999223285282294,0.8620820954177542,0.43798495069960586,0.36382422457088864,0.92758773837202,0.1100508918381337,0.9584369243585952,0.9651044352110886
deg1,1,3,1.001663453173372,1.001172155327721,1.0105751955231703,1.0234615176526853,1.0024232374667899,1.026678700231908,1.003601462646416,1.0074955888133006,1.0197510361200497,1.032821616782324,1.0051345921262604,1.0133057353844148,0.8620887652669825,0.649007328612629,1.0095818498090399,1.0251810192942,0.6841406708745306,0.08412624737025794,1.0063761116519416,1.014834272911401,0.7949566786997301,0.5578024142715934,1.0021618450006486,1.0099841644872403,0.8357292567004057,0.3033940916516422,1.017805628781196,1.0378953304793401,0.6824567019997919,0.5094067042406775,0.9995742443733429,1.0020647256614306,0.9220826977508171,0.5155942271256897,0.9667939874373697,0.9856800986562644,0.9923033601452855,0.9886073983161616,0.9309873316256077,0.9648639620693993,0.9965957420275353,0.9946656285171672,0.987916451835938,0.9945757102370789,0.4136987159159948,0.7272144437795464,0.9785079152321374,0.9846581144158221,0.9941022669575323,0.9839110540999788,1.0161785768915372,0.8546788806776382,0.9348383139143376,1.0675517327727992,0.9561957382452737,0.9647416915352182,1.0323835097684886,0.989321157667392,0.9948214052630059,1.01523939733146,1.0167755467542385,0.9406148513817876,0.9077966795481361,1.0357613646462052,0.9465051052075835,0.8481750437478368,1.3902080904701963,1.0104653187058306,0.924833632536483,1.0506929462446204,0.9743520029896651,0.9099181260008162,1.0373174398412806,0.9749187548047765,0.9518223435144382,1.029579737379844,0.7916039889629712,0.631265164682361,1.1540532900839777,0.8554044534927007,0.49934815204136584,0.057753783187873914,0.02640463706684954,0.013446337393399033,1.015743304630137,0.8959528896575021,0.8782360057751686,1.0410835699115644,0.9011193566645451,0.7555303855145251,1.0646010259966556,0.8967340775684186,0.7797149444160952,1.0063712356692711,1.2223430182396875,0.9873402745551829,1.0983948336357665,0.9947143480087225,1.0145718227151581,1.0305164288778337,1.0756375625545036,1.0015980679726622,1.0041149883407552,1.0310071613436302,1.0325096335839454,1.0002475638280326,1.0634585734289996,0.9924506886773254,1.0017579724870638,1.3137858438083792,1.5398126153128031,0.663807656500869,1.0146800565982164,0.792003437583367,1.0187829386849023,0.8613852679808992,1.286802775816393,0.9393478075844649,1.0138869310217251,0.9950400707749201,1.0306776304106888,0.6968140284602485,0.5484980040805281,0.6110580917442634,0.40153783240941754,0.9673752890039417,0.9493273500996634,0.9465216124797675,0.9157005415363724,0.7113853202792492,0.5701500894635654,0.8895580595060731,0.30931987385935944,0.9689653200823171,0.9588428354838028
