CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-16T03:04:56,18 SPCS,IRNSS 1I,2018-035A,EARTH,TEME,UTC,SGP4,2026-06-15 20:09:20.172384,1.00272046,0.00178117,28.7520,74.2167,181.5598,5.5147,0,U,43286,999,3006,0.00000000000000,0.00000062,0.0000000000000,42164.659,1436.093,35861.626,35711.422,PAYLOAD,LARGE,IND,2018-04-11,SRI,,5249146,329782406,0 IRNSS 1I,1 43286U 18035A   26166.83981681  .00000062  00000-0  00000-0 0  9993,2 43286  28.7520  74.2167 0017812 181.5598   5.5147  1.00272046 30065
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-16T17:35:04,18 SPCS,GALILEO 11 (268),2015-079B,EARTH,TEME,UTC,SGP4,2026-06-16 02:03:40.443264,1.70473579,0.00048641,55.8253,101.2890,343.1626,16.7832,0,U,41175,999,6517,0.00000000000000,-0.00000013,0.0000000000000,29600.369,844.706,23236.632,23207.836,PAYLOAD,LARGE,ESA,2015-12-17,FRGUI,,5250820,330001766,0 GALILEO 11 (268),1 41175U 15079B   26167.08588476 -.00000013  00000-0  00000-0 0  9993,2 41175  55.8253 101.2890 0004864 343.1626  16.7832  1.70473579 65175
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-16T07:56:35,18 SPCS,BEIDOU IGSO-6,2016-021A,EARTH,TEME,UTC,SGP4,2026-06-16 02:58:21.700128,1.00259474,0.00571840,60.2243,38.0497,231.4868,132.3999,0,U,41434,999,3747,0.00000000000000,-0.00000150,0.0000000000000,42168.184,1436.273,36031.183,35548.914,PAYLOAD,LARGE,PRC,2016-03-29,XSC,,5249990,329874866,0 BEIDOU IGSO-6,1 41434U 16021A   26167.12386227 -.00000150  00000-0  00000+0 0  9995,2 41434  60.2243  38.0497 0057184 231.4868 132.3999  1.00259474 37472
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-16T17:35:04,18 SPCS,COSMOS 2584(GLONASS),2025-042A,EARTH,TEME,UTC,SGP4,2026-06-16 04:50:31.942176,2.13103849,0.00057452,65.0842,72.8354,226.1824,133.8028,0,U,63130,999,1002,0.00000000000000,-0.00000022,0.0000000000000,25507.877,675.727,19144.397,19115.087,PAYLOAD,LARGE,CIS,2025-03-02,PKMTR,,5250820,330014812,0 COSMOS 2584(GLONASS),1 63130U 25042A   26167.20175859 -.00000022  00000-0  00000-0 0  9990,2 63130  65.0842  72.8354 0005745 226.1824 133.8028  2.13103849 10024
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-16T11:02:42,18 SPCS,COSMOS 2545 (GLONASS),2020-018A,EARTH,TEME,UTC,SGP4,2026-06-16 06:51:36.736704,2.13102431,0.00083965,64.3556,312.4510,230.0424,129.8687,0,U,45358,999,4864,0.00000000000000,-0.00000055,0.0000000000000,25507.990,675.731,19151.273,19108.437,PAYLOAD,LARGE,CIS,2020-03-16,PKMTR,,5250009,329892454,0 COSMOS 2545 (GLONASS),1 45358U 20018A   26167.28584186 -.00000055  00000-0  00000-0 0  9991,2 45358  64.3556 312.4510 0008397 230.0424 129.8687  2.13102431 48644
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T17:59:21,18 SPCS,GALILEO 21 (2C7),2017-079C,EARTH,TEME,UTC,SGP4,2026-06-16 08:30:18.751680,1.70474228,0.00049855,55.0717,221.5274,283.8791,76.1632,0,U,43057,999,5297,0.00000000000000,0.00000047,0.0000000000000,29600.294,844.702,23236.916,23207.402,PAYLOAD,LARGE,ESA,2017-12-12,FRGUI,,5255921,330723269,0 GALILEO 21 (2C7),1 43057U 17079C   26167.35438370  .00000047  00000-0  00000-0 0  9999,2 43057  55.0717 221.5274 0004985 283.8791  76.1632  1.70474228 52976
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-16T22:56:50,18 SPCS,BEIDOU 3M7,2018-029A,EARTH,TEME,UTC,SGP4,2026-06-16 09:52:51.229920,1.86227974,0.00010030,54.1945,299.9756,155.3229,204.6710,0,U,43245,999,5588,0.00000000000000,-0.00000069,0.0000000000000,27906.491,773.246,21531.155,21525.557,PAYLOAD,LARGE,PRC,2018-03-29,XSC,,5251090,330044167,0 BEIDOU 3M7,1 43245U 18029A   26167.41170405 -.00000069  00000-0  00000+0 0  9997,2 43245  54.1945 299.9756 0001003 155.3229 204.6710  1.86227974 55888
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-17T17:43:15,18 SPCS,NAVSTAR 59 (USA 192),2006-052A,EARTH,TEME,UTC,SGP4,2026-06-16 10:06:35.618112,2.00557832,0.00852186,54.9348,214.0365,90.8278,270.2339,0,U,29601,999,14339,0.00000000000000,0.00000054,0.0000000000000,26560.857,717.997,20409.070,19956.375,PAYLOAD,LARGE,US,2006-11-17,AFETR,,5252865,330222385,0 NAVSTAR 59 (USA 192),1 29601U 06052A   26167.42124558  .00000054  00000-0  00000-0 0  9993,2 29601  54.9348 214.0365 0085219  90.8278 270.2339  2.00557832143391
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-16T16:16:52,18 SPCS,BD-19,2015-037B,EARTH,TEME,UTC,SGP4,2026-06-16 10:58:00.745248,1.86254750,0.00034490,54.8681,302.0590,61.8038,298.2180,0,U,40749,999,7411,0.00000000000000,-0.00000070,0.0000000000000,27903.816,773.135,21535.305,21516.057,PAYLOAD,LARGE,PRC,2015-07-25,XSC,,5250219,329929707,0 BD-19,1 40749U 15037B   26167.45695307 -.00000070  00000-0  00000+0 0  9998,2 40749  54.8681 302.0590 0003449  61.8038 298.2180  1.86254750 74114
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-16T22:56:50,18 SPCS,BEIDOU 3M15,2018-078A,EARTH,TEME,UTC,SGP4,2026-06-16 11:35:05.201376,1.86232176,0.00071910,54.0906,300.0107,40.8827,319.1605,0,U,43647,999,5214,0.00000000000000,-0.00000069,0.0000000000000,27906.071,773.228,21548.003,21507.869,PAYLOAD,LARGE,PRC,2018-10-15,XSC,,5251099,330045128,0 BEIDOU 3M15,1 43647U 18078A   26167.48269909 -.00000069  00000-0  00000+0 0  9992,2 43647  54.0906 300.0107 0007191  40.8827 319.1605  1.86232176 52141
