CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-17T23:06:36,18 SPCS,COSMOS 2501 (GLONASS),2014-075A,EARTH,TEME,UTC,SGP4,2026-03-17 19:04:54.750432,2.13101418,0.00210580,63.6165,193.5334,206.8490,153.0287,0,U,40315,999,8790,0.00000000000000,0.00000014,0.0000000000000,25508.071,675.735,19183.651,19076.221,PAYLOAD,LARGE,CIS,2014-11-30,PKMTR,,5089100,316244841,0 COSMOS 2501 (GLONASS),1 40315U 14075A   26076.79507813  .00000014  00000-0  00000+0 0  9995,2 40315  63.6165 193.5334 0021058 206.8490 153.0287  2.13101418 87906
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-18T10:30:50,18 SPCS,BEIDOU 3M18,2018-093B,EARTH,TEME,UTC,SGP4,2026-03-17 21:21:53.894304,1.86226550,0.00061513,54.1710,185.3861,335.1654,24.7970,0,U,43707,999,4983,0.00000000000000,0.00000012,0.0000000000000,27906.633,773.252,21545.664,21511.332,PAYLOAD,LARGE,PRC,2018-11-18,XSC,,5089532,316303065,0 BEIDOU 3M18,1 43707U 18093B   26076.89020711  .00000012  00000-0  00000-0 0  9994,2 43707  54.1710 185.3861 0006151 335.1654  24.7970  1.86226550 49831
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-18T18:12:38,18 SPCS,BEIDOU 3M3,2018-003A,EARTH,TEME,UTC,SGP4,2026-03-18 01:37:45.309792,1.86232724,0.00048523,54.4091,305.4937,72.3506,287.7621,0,U,43107,999,5565,0.00000000000000,-0.00000017,0.0000000000000,27906.016,773.226,21541.422,21514.340,PAYLOAD,LARGE,PRC,2018-01-11,XSC,,5090309,316354978,0 BEIDOU 3M3,1 43107U 18003A   26077.06788553 -.00000017  00000-0  00000-0 0  9990,2 43107  54.4091 305.4937 0004852  72.3506 287.7621  1.86232724 55652
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-18T16:16:27,18 SPCS,BEIDOU 3M8,2018-029B,EARTH,TEME,UTC,SGP4,2026-03-18 03:17:51.952704,1.86229363,0.00051850,54.2733,303.1612,26.3755,333.7090,0,U,43246,999,5418,0.00000000000000,-0.00000014,0.0000000000000,27906.352,773.240,21542.687,21513.748,PAYLOAD,LARGE,PRC,2018-03-29,XSC,,5089737,316324822,0 BEIDOU 3M8,1 43246U 18029B   26077.13740686 -.00000014  00000-0  00000+0 0  9991,2 43246  54.2733 303.1612 0005185  26.3755 333.7090  1.86229363 54181
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-18T10:30:50,18 SPCS,COSMOS 2545 (GLONASS),2020-018A,EARTH,TEME,UTC,SGP4,2026-03-18 04:30:55.859328,2.13102681,0.00075815,64.4092,315.6196,248.9169,111.0721,0,U,45358,999,4672,0.00000000000000,-0.00000009,0.0000000000000,25507.970,675.731,19149.174,19110.496,PAYLOAD,LARGE,CIS,2020-03-16,PKMTR,,5089532,316303924,0 COSMOS 2545 (GLONASS),1 45358U 20018A   26077.18814652 -.00000009  00000-0  00000-0 0  9993,2 45358  64.4092 315.6196 0007581 248.9169 111.0721  2.13102681 46729
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-18T18:12:38,18 SPCS,QZS-2,2017-028A,EARTH,TEME,UTC,SGP4,2026-03-18 07:31:38.712000,1.00258336,0.07440699,39.5693,244.4763,270.4639,274.7896,0,U,42738,999,671,0.00000000000000,-0.00000148,0.0000000000000,42168.503,1436.290,38927.999,32652.736,PAYLOAD,LARGE,JPN,2017-06-01,TNSTA,,5090309,316354397,0 QZS-2,1 42738U 17028A   26077.31364250 -.00000148  00000-0  00000-0 0  9992,2 42738  39.5693 244.4763 0744070 270.4639 274.7896  1.00258336  6719
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-19T03:50:45,18 SPCS,GALILEO 26 (2C2),2018-060B,EARTH,TEME,UTC,SGP4,2026-03-18 08:43:57.327744,1.70475125,0.00036007,57.2015,344.2393,290.2442,69.7573,0,U,43565,999,4766,0.00000000000000,-0.00000072,0.0000000000000,29600.190,844.698,23232.713,23211.397,PAYLOAD,LARGE,ESA,2018-07-25,FRGUI,,5091345,316410296,0 GALILEO 26 (2C2),1 43565U 18060B   26077.36385796 -.00000072  00000-0  00000-0 0  9997,2 43565  57.2015 344.2393 0003601 290.2442  69.7573  1.70475125 47668
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-19T00:46:39,18 SPCS,BEIDOU 3M16,2018-078B,EARTH,TEME,UTC,SGP4,2026-03-18 09:43:01.645824,1.86232436,0.00053800,54.1679,303.1706,40.6797,319.4177,0,U,43648,999,5048,0.00000000000000,-0.00000015,0.0000000000000,27906.045,773.227,21542.924,21512.897,PAYLOAD,LARGE,PRC,2018-10-15,XSC,,5090724,316379383,0 BEIDOU 3M16,1 43648U 18078B   26077.40488016 -.00000015  00000-0  00000+0 0  9998,2 43648  54.1679 303.1706 0005380  40.6797 319.4177  1.86232436 50482
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-19T10:10:40,18 SPCS,COSMOS 2584(GLONASS),2025-042A,EARTH,TEME,UTC,SGP4,2026-03-18 13:46:01.740864,2.13103395,0.00076602,65.0331,75.8812,237.8729,122.0796,0,U,63130,999,811,0.00000000000000,0.00000052,0.0000000000000,25507.913,675.728,19149.318,19110.239,PAYLOAD,LARGE,CIS,2025-03-02,PKMTR,,5091406,316455444,0 COSMOS 2584(GLONASS),1 63130U 25042A   26077.57363126  .00000052  00000-0  00000-0 0  9998,2 63130  65.0331  75.8812 0007660 237.8729 122.0796  2.13103395  8115
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-19T03:50:45,18 SPCS,BEIDOU 3M9,2018-062A,EARTH,TEME,UTC,SGP4,2026-03-18 21:33:50.164128,1.86228802,0.00026047,54.0868,185.3739,297.6211,62.3507,0,U,43581,999,5195,0.00000000000000,0.00000022,0.0000000000000,27906.408,773.242,21535.542,21521.004,PAYLOAD,LARGE,PRC,2018-07-29,XSC,,5091345,316410304,0 BEIDOU 3M9,1 43581U 18062A   26077.89849727  .00000022  00000-0  00000-0 0  9998,2 43581  54.0868 185.3739 0002605 297.6211  62.3507  1.86228802 51951
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-19T10:10:40,18 SPCS,NAVSTAR 67 (USA 239),2012-053A,EARTH,TEME,UTC,SGP4,2026-03-19 01:48:45.292608,2.00565996,0.01771258,53.5674,147.2921,64.8804,297.0249,0,U,38833,999,9763,0.00000000000000,0.00000048,0.0000000000000,26560.137,717.968,20652.450,19711.553,PAYLOAD,LARGE,US,2012-10-04,AFETR,,5091406,316440092,0 NAVSTAR 67 (USA 239),1 38833U 12053A   26078.07552422  .00000048  00000-0  00000-0 0  9998,2 38833  53.5674 147.2921 0177126  64.8804 297.0249  2.00565996 97637
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-19T10:10:40,18 SPCS,NAVSTAR 61 (USA 199),2007-062A,EARTH,TEME,UTC,SGP4,2026-03-19 02:04:29.821728,2.00554390,0.00333955,55.1039,277.7728,160.8643,43.9837,0,U,32384,999,13370,0.00000000000000,0.00000018,0.0000000000000,26561.161,718.010,20271.729,20094.324,PAYLOAD,LARGE,US,2007-12-20,AFETR,,5091406,316436777,0 NAVSTAR 61 (USA 199),1 32384U 07062A   26078.08645627  .00000018  00000-0  00000-0 0  9995,2 32384  55.1039 277.7728 0033396 160.8643  43.9837  2.00554390133703
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-03-20T03:57:10,18 SPCS,COSMOS 2534 (GLONASS),2019-030A,EARTH,TEME,UTC,SGP4,2026-03-19 02:28:16.538880,2.13102427,0.00103018,64.3684,195.6470,278.7637,230.6427,0,U,44299,999,5300,0.00000000000000,0.00000026,0.0000000000000,25507.990,675.731,19156.133,19103.578,PAYLOAD,LARGE,CIS,2019-05-27,PKMTR,,5092242,316493894,0 COSMOS 2534 (GLONASS),1 44299U 19030A   26078.10296920  .00000026  00000-0  00000-0 0  9991,2 44299  64.3684 195.6470 0010302 278.7637 230.6427  2.13102427 53003
