CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-08-15T00:46:29,18 SPCS,NAVSTAR 83 (USA 440),2024-242A,EARTH,TEME,UTC,SGP4,2026-08-14 14:48:06.760224,2.00572831,0.00184310,54.8202,331.8118,3.0031,316.8707,0,U,62339,999,1242,0.00000000000000,-0.00000103,0.0000000000000,26559.533,717.944,20230.350,20132.446,PAYLOAD,LARGE,US,2024-12-17,AFETR,,5324630,340844352,0 NAVSTAR 83 (USA 440),1 62339U 24242A   26226.61674491 -.00000103  00000-0  00000+0 0  9997,2 62339  54.8202 331.8118 0018431   3.0031 316.8707  2.00572831 12424
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-08-15T06:36:54,18 SPCS,GALILEO 12 (269),2015-079A,EARTH,TEME,UTC,SGP4,2026-08-14 16:44:32.741088,1.70473757,0.00042880,55.8619,99.6558,5.8364,354.2590,0,U,41174,999,6577,0.00000000000000,-0.00000015,0.0000000000000,29600.348,844.705,23234.906,23209.521,PAYLOAD,LARGE,ESA,2015-12-17,FRGUI,,5324994,340912721,0 GALILEO 12 (269),1 41174U 15079A   26226.69760117 -.00000015  00000-0  00000+0 0  9990,2 41174  55.8619  99.6558 0004288   5.8364 354.2590  1.70473757 65777
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-08-15T04:58:28,18 SPCS,BEIDOU 3M19,2019-090A,EARTH,TEME,UTC,SGP4,2026-08-14 17:13:47.358336,1.86231529,0.00159149,56.6120,60.8570,295.5466,240.1696,0,U,44864,999,4532,0.00000000000000,-0.00000043,0.0000000000000,27906.136,773.231,21572.413,21483.588,PAYLOAD,LARGE,PRC,2019-12-16,XSC,,5324771,340872632,0 BEIDOU 3M19,1 44864U 19090A   26226.71790924 -.00000043  00000-0  00000-0 0  9990,2 44864  56.6120  60.8570 0015915 295.5466 240.1696  1.86231529 45321
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-08-15T11:07:06,18 SPCS,BEIDOU 8,2011-013A,EARTH,TEME,UTC,SGP4,2026-08-14 22:57:13.237344,1.00253577,0.00366972,62.4910,39.5979,183.8018,188.6298,0,U,37384,999,5625,0.00000000000000,-0.00000161,0.0000000000000,42169.837,1436.358,35946.454,35636.951,PAYLOAD,LARGE,PRC,2011-04-09,XSC,,5325698,340994219,0 BEIDOU 8,1 37384U 11013A   26226.95640321 -.00000161  00000-0  00000-0 0  9998,2 37384  62.4910  39.5979 0036697 183.8018 188.6298  1.00253577 56251
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-08-15T06:36:54,18 SPCS,IRNSS 1B,2014-017A,EARTH,TEME,UTC,SGP4,2026-08-14 23:30:36.574272,1.00274787,0.00211090,28.8251,239.3907,193.2531,298.3658,0,U,39635,999,4538,0.00000000000000,0.00000114,0.0000000000000,42163.890,1436.054,35874.759,35696.752,PAYLOAD,LARGE,IND,2014-04-04,SRI,,5324968,340910401,0 IRNSS 1B,1 39635U 14017A   26226.97958998  .00000114  00000-0  00000+0 0  9996,2 39635  28.8251 239.3907 0021109 193.2531 298.3658  1.00274787 45381
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-08-15T18:01:04,18 SPCS,GALILEO 25 (2C1),2018-060A,EARTH,TEME,UTC,SGP4,2026-08-15 07:26:15.881856,1.70476290,0.00034721,57.1466,340.1854,272.0001,87.9738,0,U,43564,999,5017,0.00000000000000,-0.00000109,0.0000000000000,29600.055,844.692,23232.197,23211.643,PAYLOAD,LARGE,ESA,2018-07-25,FRGUI,,5327060,341164252,0 GALILEO 25 (2C1),1 43564U 18060A   26227.30990604 -.00000109  00000-0  00000-0 0  9998,2 43564  57.1466 340.1854 0003472 272.0001  87.9738  1.70476290 50177
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-08-15T14:36:57,18 SPCS,GALILEO 6 (262),2014-050B,EARTH,TEME,UTC,SGP4,2026-08-15 10:07:08.378400,1.85520347,0.16840400,48.8293,270.0882,182.4088,176.6991,0,U,40129,999,8158,0.00000000000000,-0.00000035,0.0000000000000,27977.408,776.195,26310.780,16887.766,PAYLOAD,LARGE,ESA,2014-08-22,FRGUI,,5326792,341125330,0 GALILEO 6 (262),1 40129U 14050B   26227.42162475 -.00000035  00000-0  00000+0 0  9994,2 40129  48.8293 270.0882 1684040 182.4088 176.6991  1.85520347 81589
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-08-15T18:01:04,18 SPCS,COSMOS 2457 (GLONASS),2009-070B,EARTH,TEME,UTC,SGP4,2026-08-15 12:21:59.605344,2.13100886,0.00052610,65.0337,68.7921,125.1909,52.6979,0,U,36112,999,12969,0.00000000000000,-0.00000017,0.0000000000000,25508.113,675.736,19143.398,19116.558,PAYLOAD,LARGE,CIS,2009-12-14,TTMTR,,5327060,341160680,0 COSMOS 2457 (GLONASS),1 36112U 09070B   26227.51527321 -.00000017  00000-0  00000-0 0  9993,2 36112  65.0337  68.7921 0005261 125.1909  52.6979  2.13100886129697
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-08-15T23:16:53,18 SPCS,QZS-4,2017-062A,EARTH,TEME,UTC,SGP4,2026-08-15 14:51:51.623136,1.00282080,0.07480920,40.0706,342.7279,269.1212,75.4833,0,U,42965,999,3239,0.00000000000000,-0.00000351,0.0000000000000,42161.846,1435.949,38937.805,32629.617,PAYLOAD,LARGE,JPN,2017-10-09,TNSTA,,5327322,341207093,0 QZS-4,1 42965U 17062A   26227.61934749 -.00000351  00000-0  00000+0 0  9993,2 42965  40.0706 342.7279 0748092 269.1212  75.4833  1.00282080 32390
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-02T02:15:06,18 SPCS,GALILEO 10 (206),2015-045B,EARTH,TEME,UTC,SGP4,2026-08-15 16:51:03.257856,1.70473365,0.00023044,54.9326,219.9607,336.2121,23.7563,0,U,40890,999,6805,0.00000000000000,0.00000037,0.0000000000000,29600.394,844.707,23229.080,23215.437,PAYLOAD,LARGE,ESA,2015-09-11,FRGUI,,5348510,344910420,0 GALILEO 10 (206),1 40890U 15045B   26227.70212104  .00000037  00000-0  00000-0 0  9992,2 40890  54.9326 219.9607 0002304 336.2121  23.7563  1.70473365 68054
