CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-02T17:33:34,18 SPCS,COSMOS 2544 (GLONASS),2019-088A,EARTH,TEME,UTC,SGP4,2026-09-02 10:58:27.269184,2.13102989,0.00118485,65.6117,71.1542,246.5067,113.4201,0,U,44850,999,5236,0.00000000000000,0.00000027,0.0000000000000,25507.946,675.730,19160.033,19099.588,PAYLOAD,LARGE,CIS,2019-12-11,PKMTR,,5349227,345046301,0 COSMOS 2544 (GLONASS),1 44850U 19088A   26245.45726006  .00000027  00000-0  00000-0 0  9995,2 44850  65.6117  71.1542 0011848 246.5067 113.4201  2.13102989 52364
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-02T17:33:34,18 SPCS,GALILEO 27 (223),2021-116A,EARTH,TEME,UTC,SGP4,2026-09-02 11:19:46.111872,1.70475983,0.00040222,57.1297,339.5890,223.7478,167.6349,0,U,49809,999,2950,0.00000000000000,-0.00000080,0.0000000000000,29600.090,844.694,23233.861,23210.050,PAYLOAD,LARGE,ESA,2021-12-05,FRGUI,,5349227,345048391,0 GALILEO 27 (223),1 49809U 21116A   26245.47206148 -.00000080  00000-0  00000-0 0  9991,2 49809  57.1297 339.5890 0004022 223.7478 167.6349  1.70475983 29507
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-03T04:17:27,18 SPCS,BEIDOU 3M4,2018-003B,EARTH,TEME,UTC,SGP4,2026-09-02 14:47:36.743136,1.86231155,0.00041902,54.2484,299.5915,260.8058,99.2180,0,U,43108,999,5880,0.00000000000000,-0.00000027,0.0000000000000,27906.173,773.233,21539.731,21516.345,PAYLOAD,LARGE,PRC,2018-01-11,XSC,,5349295,345081077,0 BEIDOU 3M4,1 43108U 18003B   26245.61639749 -.00000027  00000-0  00000-0 0  9992,2 43108  54.2484 299.5915 0004190 260.8058  99.2180  1.86231155 58800
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-03T11:21:28,18 SPCS,COSMOS 2527 (GLONASS),2018-053A,EARTH,TEME,UTC,SGP4,2026-09-02 23:34:16.312800,2.13102138,0.00068841,65.6245,71.3146,214.3575,145.6493,0,U,43508,999,6393,0.00000000000000,0.00000029,0.0000000000000,25508.013,675.732,19147.438,19112.318,PAYLOAD,LARGE,CIS,2018-06-16,PKMTR,,5350161,345196855,0 COSMOS 2527 (GLONASS),1 43508U 18053A   26245.98213325  .00000029  00000-0  00000-0 0  9990,2 43508  65.6245  71.3146 0006884 214.3575 145.6493  2.13102138 63939
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-16T03:39:15,18 SPCS,COSMOS 2619,2026-194A,EARTH,TEME,UTC,SGP4,2026-09-03 01:12:20.964960,2.12709114,0.00046553,64.7592,312.0581,49.6895,310.4232,0,U,100460,999,22,0.00000000000000,-0.00000032,0.0000000000000,25539.425,676.981,19173.179,19149.400,PAYLOAD,,CIS,2026-08-24,PKMTR,,5370601,348402920,0 COSMOS 2619,1 A0460U 26194A   26246.05024265 -.00000032  00000-0  00000-0 0  9992,2 A0460  64.7592 312.0581 0004655  49.6895 310.4232  2.12709114   222
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-03T08:46:25,18 SPCS,COSMOS 2434 (GLONASS),2007-065A,EARTH,TEME,UTC,SGP4,2026-09-03 03:41:46.952160,2.13101305,0.00013420,64.3201,189.2869,22.9060,128.6116,0,U,32393,999,14543,0.00000000000000,0.00000047,0.0000000000000,25508.080,675.735,19133.368,19126.522,PAYLOAD,LARGE,CIS,2007-12-25,TTMTR,,5350127,345179209,0 COSMOS 2434 (GLONASS),1 32393U 07065A   26246.15401565  .00000047  00000-0  00000+0 0  9995,2 32393  64.3201 189.2869 0001342  22.9060 128.6116  2.13101305145438
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-03T18:24:09,18 SPCS,NAVSTAR 84 (USA 545),2025-116A,EARTH,TEME,UTC,SGP4,2026-09-03 08:54:09.864864,2.00569957,0.00088022,55.2862,27.9909,336.7252,30.2943,0,U,64202,999,944,0.00000000000000,-0.00000052,0.0000000000000,26559.787,717.954,20205.030,20158.274,PAYLOAD,LARGE,US,2025-05-30,AFETR,,5350217,345243820,0 NAVSTAR 84 (USA 545),1 64202U 25116A   26246.37094751 -.00000052  00000-0  00000-0 0  9993,2 64202  55.2862  27.9909 0008802 336.7252  30.2943  2.00569957  9447
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-09T02:20:59,18 SPCS,GALILEO-FM2,2011-060B,EARTH,TEME,UTC,SGP4,2026-09-03 10:17:32.822304,1.70475714,0.00015939,56.9635,339.6410,329.3167,62.9507,0,U,37847,999,9246,0.00000000000000,-0.00000084,0.0000000000000,29600.122,844.695,23226.704,23217.269,PAYLOAD,LARGE,ESA,2011-10-21,FRGUI,,5359991,346729807,0 GALILEO-FM2,1 37847U 11060B   26246.42885211 -.00000084  00000-0  00000-0 0  9991,2 37847  56.9635 339.6410 0001594 329.3167  62.9507  1.70475714 92467
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-04T02:17:04,18 SPCS,NAVSTAR 82 (USA 343),2023-009A,EARTH,TEME,UTC,SGP4,2026-09-03 11:13:33.350304,2.00566017,0.00058237,55.1265,145.4409,328.9637,201.9505,0,U,55268,999,2681,0.00000000000000,0.00000001,0.0000000000000,26560.135,717.968,20197.468,20166.532,PAYLOAD,LARGE,US,2023-01-18,AFETR,,5351496,345396140,0 NAVSTAR 82 (USA 343),1 55268U 23009A   26246.46774711  .00000001  00000-0  00000-0 0  9998,2 55268  55.1265 145.4409 0005824 328.9637 201.9505  2.00566017 26812
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-03T18:24:09,18 SPCS,NAVSTAR 65 (USA 213),2010-022A,EARTH,TEME,UTC,SGP4,2026-09-03 11:21:38.189952,2.00566118,0.01285460,54.2627,205.4106,66.3544,106.0873,0,U,36585,999,11916,0.00000000000000,0.00000054,0.0000000000000,26560.126,717.968,20523.411,19840.571,PAYLOAD,LARGE,US,2010-05-28,AFETR,,5350217,345228065,0 NAVSTAR 65 (USA 213),1 36585U 10022A   26246.47335868  .00000054  00000-0  00000-0 0  9995,2 36585  54.2627 205.4106 0128546  66.3544 106.0873  2.00566118119169
