CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
3.0,GENERATED VIA SPACE-TRACK.ORG API,2019-02-21T04:51:52,18 SPCS,GALILEO 22 (2C8),2017-079D,EARTH,TEME,UTC,SGP4,2019-02-20 12:15:03.576384,1.70473586,0.00030400,56.6512,295.0233,274.9334,85.1060,0,U,43058,999,743,0.00000000000000,-0.00000007,0.0000000000000,29600.367,844.705,23231.231,23213.234,PAYLOAD,LARGE,ESA,2017-12-12,FRGUI,,2413712,126857722,0 GALILEO 22 (2C8),1 43058U 17079D   19051.51045806 -.00000007 +00000-0 +00000-0 0  9997,2 43058 056.6512 295.0233 0003040 274.9334 085.1060 01.70473586007435
3.0,GENERATED VIA SPACE-TRACK.ORG API,2019-02-23T05:54:48,18 SPCS,GALILEO 14 (26B),2016-030A,EARTH,TEME,UTC,SGP4,2019-02-21 14:33:35.120736,1.70474240,0.00029160,56.6776,295.1441,334.8298,201.9630,0,U,41549,999,1709,0.00000000000000,-0.00000015,0.0000000000000,29600.292,844.702,23230.788,23213.525,PAYLOAD,LARGE,ESA,2016-05-24,FRGUI,,2414738,126905248,0 GALILEO 14 (26B),1 41549U 16030A   19052.60665649 -.00000015 +00000-0 +00000-0 0  9999,2 41549 056.6776 295.1441 0002916 334.8298 201.9630 01.70474240017090
3.0,GENERATED VIA SPACE-TRACK.ORG API,2019-02-22T22:30:24,18 SPCS,GALILEO-PFM,2011-060A,EARTH,TEME,UTC,SGP4,2019-02-22 12:58:11.389440,1.70475650,0.00050730,56.2971,54.5574,318.2371,41.7397,0,U,37846,999,4570,0.00000000000000,-0.00000046,0.0000000000000,29600.129,844.695,23237.010,23206.977,PAYLOAD,LARGE,ESA,2011-10-21,FRGUI,,2414677,126895615,0 GALILEO-PFM,1 37846U 11060A   19053.54040960 -.00000046  00000-0  00000+0 0  9992,2 37846  56.2971  54.5574 0005073 318.2371  41.7397  1.70475650 45702
3.0,GENERATED VIA SPACE-TRACK.ORG API,2019-02-23T08:00:19,18 SPCS,IRNSS R1A,2013-034A,EARTH,TEME,UTC,SGP4,2019-02-22 16:57:42.579648,1.00270007,0.00212290,29.9040,104.6006,186.7380,170.4599,0,U,39199,999,2085,0.00000000000000,0.00000076,0.0000000000000,42165.230,1436.122,35876.607,35697.582,PAYLOAD,LARGE,IND,2013-07-01,SRI,,2414860,126909272,0 IRNSS R1A,1 39199U 13034A   19053.70674282  .00000076  00000-0  00000+0 0  9998,2 39199  29.9040 104.6006 0021229 186.7380 170.4599  1.00270007 20850
3.0,GENERATED VIA SPACE-TRACK.ORG API,2019-02-23T14:42:19,18 SPCS,GALILEO 18 (26E),2016-069D,EARTH,TEME,UTC,SGP4,2019-02-22 19:25:30.885600,1.70473819,0.00019020,54.5938,175.1988,267.6415,92.3043,0,U,41862,999,1410,0.00000000000000,0.00000001,0.0000000000000,29600.341,844.704,23227.835,23216.576,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,2415001,126912437,0 GALILEO 18 (26E),1 41862U 16069D   19053.80938525  .00000001  00000-0  00000+0 0  9991,2 41862  54.5938 175.1988 0001902 267.6415  92.3043  1.70473819 14106
3.0,GENERATED VIA SPACE-TRACK.ORG API,2019-02-23T07:42:17,18 SPCS,GALILEO 11 (268),2015-079B,EARTH,TEME,UTC,SGP4,2019-02-22 22:56:47.747616,1.70473807,0.00029650,54.9357,174.7125,309.8531,50.0900,0,U,41175,999,1982,0.00000000000000,0.00000001,0.0000000000000,29600.342,844.704,23230.983,23213.430,PAYLOAD,LARGE,ESA,2015-12-17,FRGUI,,2414790,126907598,0 GALILEO 11 (268),1 41175U 15079B   19053.95610819  .00000001  00000-0  00000+0 0  9997,2 41175  54.9357 174.7125 0002965 309.8531  50.0900  1.70473807 19822
3.0,GENERATED VIA SPACE-TRACK.ORG API,2019-02-25T03:54:51,18 SPCS,NAVSTAR 61 (USA 199),2007-062A,EARTH,TEME,UTC,SGP4,2019-02-23 05:42:34.858080,2.00577253,0.00049130,56.4583,19.5878,79.4707,343.8638,0,U,32384,999,8200,0.00000000000000,-0.00000077,0.0000000000000,26559.142,717.927,20194.056,20167.959,PAYLOAD,LARGE,US,2007-12-20,AFETR,,2415839,126944954,0 NAVSTAR 61 (USA 199),1 32384U 07062A   19054.23790345 -.00000077 +00000-0 +00000-0 0  9992,2 32384 056.4583 019.5878 0004913 079.4707 343.8638 02.00577253082008
3.0,GENERATED VIA SPACE-TRACK.ORG API,2019-02-23T22:24:19,18 SPCS,GALILEO 17 (26D),2016-069C,EARTH,TEME,UTC,SGP4,2019-02-23 05:58:40.893888,1.70473821,0.00026660,54.5955,175.1903,261.2821,98.6573,0,U,41861,999,1412,0.00000000000000,0.00000000,0.0000000000000,29600.340,844.704,23230.097,23214.314,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,2415156,126915738,0 GALILEO 17 (26D),1 41861U 16069C   19054.24908442  .00000000  00000-0  00000+0 0  9993,2 41861  54.5955 175.1903 0002666 261.2821  98.6573  1.70473821 14122
3.0,GENERATED VIA SPACE-TRACK.ORG API,2019-02-23T14:24:17,18 SPCS,COSMOS 2522 (GLONASS),2017-055A,EARTH,TEME,UTC,SGP4,2019-02-23 06:28:06.026880,2.13101992,0.00058540,64.5487,283.6771,256.2666,233.5366,0,U,42939,999,1106,0.00000000000000,0.00000004,0.0000000000000,25508.025,675.732,19144.822,19114.957,PAYLOAD,LARGE,CIS,2017-09-22,PKMTR,,2414902,126909998,0 COSMOS 2522 (GLONASS),1 42939U 17055A   19054.26951420  .00000004  00000-0  00000+0 0  9996,2 42939  64.5487 283.6771 0005854 256.2666 233.5366  2.13101992 11066
3.0,GENERATED VIA SPACE-TRACK.ORG API,2019-02-23T22:36:16,18 SPCS,GALILEO 8 (264),2015-017B,EARTH,TEME,UTC,SGP4,2019-02-23 06:35:54.499776,1.70475321,0.00029350,56.0955,54.7521,260.2318,99.7492,0,U,40545,999,2433,0.00000000000000,-0.00000048,0.0000000000000,29600.167,844.697,23230.719,23213.344,PAYLOAD,LARGE,ESA,2015-03-27,FRGUI,,2415208,126916964,0 GALILEO 8 (264),1 40545U 15017B   19054.27493634 -.00000048  00000-0  00000+0 0  9991,2 40545  56.0955  54.7521 0002935 260.2318  99.7492  1.70475321 24337
