CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-18T21:36:26,18 SPCS,STARLINK-36137,2025-294D,EARTH,TEME,UTC,SGP4,2026-06-18 12:27:36.260352,15.27587310,0.00017380,43.0012,188.3171,261.6812,98.3843,0,U,67033,999,3022,0.00061946000000,0.00016827,0.0000000000000,6861.164,94.266,484.222,481.837,PAYLOAD,LARGE,US,2025-12-11,AFETR,,5253575,330412728,0 STARLINK-36137,1 67033U 25294D   26169.51916968  .00016827  00000-0  61946-3 0  9993,2 67033  43.0012 188.3171 0001738 261.6812  98.3843 15.27587310 30226
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-18T21:36:26,18 SPCS,STARLINK-35720,2025-294Y,EARTH,TEME,UTC,SGP4,2026-06-18 12:53:30.146208,15.27596390,0.00016810,43.0003,188.4389,270.7696,89.2963,0,U,67052,999,3022,0.00044045000000,0.00011884,0.0000000000000,6861.137,94.266,484.155,481.849,PAYLOAD,LARGE,US,2025-12-11,AFETR,,5253576,330412786,0 STARLINK-35720,1 67052U 25294Y   26169.53715447  .00011884  00000-0  44045-3 0  9994,2 67052  43.0003 188.4389 0001681 270.7696  89.2963 15.27596390 30227
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T02:57:24,18 SPCS,STARLINK-3863,2022-049Q,EARTH,TEME,UTC,SGP4,2026-06-18 16:22:08.386464,15.08838948,0.00012920,53.1599,315.6404,85.9046,274.2093,0,U,52465,999,22763,0.00009346568700,0.00001200,0.0000000000000,6917.884,95.438,540.642,538.855,PAYLOAD,LARGE,US,2022-05-06,AFETR,,5255019,330572588,0 STARLINK-3863,1 52465U 22049Q   26169.68204151  .00001200  00000-0  93466-4 0  9995,2 52465  53.1599 315.6404 0001292  85.9046 274.2093 15.08838948227636
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T02:57:24,18 SPCS,STARLINK-32075,2024-136S,EARTH,TEME,UTC,SGP4,2026-06-18 17:03:08.593632,15.30208981,0.00009014,53.1615,326.2655,81.6469,278.4634,0,U,60345,999,10513,0.00006568460900,0.00001587,0.0000000000000,6853.325,94.105,475.808,474.573,PAYLOAD,LARGE,US,2024-08-02,AFETR,,5255019,330578506,0 STARLINK-32075,1 60345U 24136S   26169.71051613  .00001587  00000-0  65685-4 0  9997,2 60345  53.1615 326.2655 0000901  81.6469 278.4634 15.30208981105135
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T02:57:24,18 SPCS,STARLINK-2486,2021-027BD,EARTH,TEME,UTC,SGP4,2026-06-18 18:56:29.357952,15.39712961,0.00027167,53.1570,348.2495,134.9444,225.1781,0,U,48143,999,28893,0.00120409400000,0.00048219,0.0000000000000,6825.094,93.524,448.814,445.105,PAYLOAD,LARGE,US,2021-04-07,AFETR,,5255019,330571312,0 STARLINK-2486,1 48143U 21027BD  26169.78922868  .00048219  00000-0  12041-2 0  9990,2 48143  53.1570 348.2495 0002717 134.9444 225.1781 15.39712961288934
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-4179,2022-086AK,EARTH,TEME,UTC,SGP4,2026-06-19 00:56:36.049632,15.08991725,0.00012066,53.1624,89.0365,106.4255,253.6870,0,U,53275,999,21649,0.00127336490000,0.00020121,0.0000000000000,6917.417,95.428,540.116,538.447,PAYLOAD,LARGE,US,2022-07-24,AFETR,,5255912,330692828,0 STARLINK-4179,1 53275U 22086AK  26170.03930613  .00020121  00000-0  12734-2 0  9996,2 53275  53.1624  89.0365 0001207 106.4255 253.6870 15.08991725216499
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-30283,2023-124T,EARTH,TEME,UTC,SGP4,2026-06-19 01:10:05.523456,15.30181177,0.00013607,53.1600,96.1862,93.1377,266.9779,0,U,57680,999,15908,-0.00002389835700,-0.00001066,0.0000000000000,6853.408,94.107,476.206,474.341,PAYLOAD,LARGE,US,2023-08-22,AFWTR,,5255912,330695400,0 STARLINK-30283,1 57680U 23124T   26170.04867504 -.00001066  00000-0 -23898-4 0  9997,2 57680  53.1600  96.1862 0001361  93.1377 266.9779 15.30181177159089
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-31271,2024-017B,EARTH,TEME,UTC,SGP4,2026-06-19 01:30:29.741472,15.30208238,0.00012914,53.1600,93.6887,72.0157,288.0985,0,U,58827,999,13557,0.00073906854000,0.00021599,0.0000000000000,6853.327,94.105,476.078,474.307,PAYLOAD,LARGE,US,2024-01-24,AFWTR,,5255912,330696363,0 STARLINK-31271,1 58827U 24017B   26170.06284423  .00021599  00000-0  73907-3 0  9994,2 58827  53.1600  93.6887 0001291  72.0157 288.0985 15.30208238135576
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-1802,2020-073AJ,EARTH,TEME,UTC,SGP4,2026-06-19 01:35:47.312448,15.39208627,0.00042139,53.1563,103.2176,61.0115,299.1312,0,U,46702,999,31304,0.00111807710000,0.00043988,0.0000000000000,6826.585,93.555,451.327,445.574,PAYLOAD,LARGE,US,2020-10-18,AFETR,,5255912,330689506,0 STARLINK-1802,1 46702U 20073AJ  26170.06651982  .00043988  00000-0  11181-2 0  9990,2 46702  53.1563 103.2176 0004214  61.0115 299.1312 15.39208627313040
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-34846,2025-288P,EARTH,TEME,UTC,SGP4,2026-06-19 01:36:43.243488,15.27594079,0.00011977,42.9998,170.7633,241.3560,118.7171,0,U,66972,999,3079,0.00071818382000,0.00019562,0.0000000000000,6861.144,94.266,483.831,482.187,PAYLOAD,LARGE,US,2025-12-08,AFETR,,5255912,330703990,0 STARLINK-34846,1 66972U 25288P   26170.06716717  .00019562  00000-0  71818-3 0  9997,2 66972  42.9998 170.7633 0001198 241.3560 118.7171 15.27594079 30794
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T06:57:01,18 SPCS,STARLINK-6315,2023-094U,EARTH,TEME,UTC,SGP4,2026-06-19 01:37:27.545088,15.27574186,0.00014240,43.0018,167.4349,264.1833,95.8856,0,U,57236,999,16274,0.00002465700000,0.00000416,0.0000000000000,6861.204,94.267,484.046,482.091,PAYLOAD,LARGE,US,2023-07-07,AFWTR,,5255850,330643193,0 STARLINK-6315,1 57236U 23094U   26170.06767992  .00000416  00000-0  24657-4 0  9992,2 57236  43.0018 167.4349 0001424 264.1833  95.8856 15.27574186162740
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-36786,2026-034Y,EARTH,TEME,UTC,SGP4,2026-06-19 01:38:06.950400,15.31732771,0.00011942,53.1597,92.8892,95.3476,264.7662,0,U,67872,999,1956,0.00093054634000,0.00028651,0.0000000000000,6848.779,94.011,471.462,469.826,PAYLOAD,LARGE,US,2026-02-20,AFETR,,5255912,330704921,0 STARLINK-36786,1 67872U 26034Y   26170.06813600  .00028651  00000-0  93055-3 0  9992,2 67872  53.1597  92.8892 0001194  95.3476 264.7662 15.31732771 19560
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-32249,2024-144V,EARTH,TEME,UTC,SGP4,2026-06-19 01:39:01.037664,15.34374810,0.00013379,53.1625,104.6162,87.5375,272.5781,0,U,60444,999,10489,-0.00010584194000,-0.00003948,0.0000000000000,6840.915,93.849,463.695,461.865,PAYLOAD,LARGE,US,2024-08-12,AFETR,,5255912,330698034,0 STARLINK-32249,1 60444U 24144V   26170.06876201 -.00003948  00000-0 -10584-3 0  9996,2 60444  53.1625 104.6162 0001338  87.5375 272.5781 15.34374810104892
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-36147,2025-288AE,EARTH,TEME,UTC,SGP4,2026-06-19 01:47:49.404768,15.27588792,0.00017147,42.9991,170.8146,266.9217,93.1438,0,U,66987,999,3079,0.00064040949000,0.00017407,0.0000000000000,6861.160,94.266,484.201,481.848,PAYLOAD,LARGE,US,2025-12-08,AFETR,,5255912,330703498,0 STARLINK-36147,1 66987U 25288AE  26170.07487737  .00017407  00000-0  64041-3 0  9997,2 66987  42.9991 170.8146 0001715 266.9217  93.1438 15.27588792 30797
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T06:57:01,18 SPCS,STARLINK-4328,2022-077AE,EARTH,TEME,UTC,SGP4,2026-06-19 01:48:18.250272,15.05659359,0.00014030,97.3439,350.1693,88.5158,271.6230,0,U,53071,999,21624,-0.00014556000000,-0.00002157,0.0000000000000,6927.619,95.639,550.456,548.513,PAYLOAD,LARGE,US,2022-07-11,AFWTR,,5255467,330630078,0 STARLINK-4328,1 53071U 22077AE  26170.07521123 -.00002157  00000-0 -14556-3 0  9992,2 53071  97.3439 350.1693 0001403  88.5158 271.6230 15.05659359216247
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T06:57:01,18 SPCS,STARLINK-31584,2024-098E,EARTH,TEME,UTC,SGP4,2026-06-19 01:50:06.709056,15.27568754,0.00013410,43.0032,65.2775,285.9372,74.1332,0,U,59862,999,11735,0.00004407500000,0.00000950,0.0000000000000,6861.220,94.267,484.005,482.165,PAYLOAD,LARGE,US,2024-05-24,AFETR,,5255684,330652168,0 STARLINK-31584,1 59862U 24098E   26170.07646654  .00000950  00000-0  44075-4 0  9995,2 59862  43.0032  65.2775 0001341 285.9372  74.1332 15.27568754117358
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-36828,2026-034H,EARTH,TEME,UTC,SGP4,2026-06-19 01:51:34.132896,15.31712900,0.00012283,53.1592,92.9462,95.1248,264.9894,0,U,67857,999,1956,0.00070345223000,0.00021536,0.0000000000000,6848.839,94.012,471.545,469.862,PAYLOAD,LARGE,US,2026-02-20,AFETR,,5255912,330704414,0 STARLINK-36828,1 67857U 26034H   26170.07747839  .00021536  00000-0  70345-3 0  9998,2 67857  53.1592  92.9462 0001228  95.1248 264.9894 15.31712900 19566
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-36838,2026-034F,EARTH,TEME,UTC,SGP4,2026-06-19 01:52:03.498528,15.31706454,0.00012046,53.1593,92.9545,92.9802,267.1338,0,U,67855,999,1956,0.00068830274000,0.00021058,0.0000000000000,6848.858,94.013,471.548,469.898,PAYLOAD,LARGE,US,2026-02-20,AFETR,,5255912,330704413,0 STARLINK-36838,1 67855U 26034F   26170.07781827  .00021058  00000-0  68830-3 0  9996,2 67855  53.1593  92.9545 0001205  92.9802 267.1338 15.31706454 19568
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T06:57:01,18 SPCS,STARLINK-34864,2025-189H,EARTH,TEME,UTC,SGP4,2026-06-19 01:53:02.340384,15.31707498,0.00012560,53.1595,95.5383,97.0535,263.0609,0,U,65330,999,4663,0.00055949000000,0.00017040,0.0000000000000,6848.855,94.013,471.580,469.859,PAYLOAD,LARGE,US,2025-08-27,AFETR,,5255844,330668490,0 STARLINK-34864,1 65330U 25189H   26170.07849931  .00017040  00000-0  55949-3 0  9996,2 65330  53.1595  95.5383 0001256  97.0535 263.0609 15.31707498 46633
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-11430,2025-027K,EARTH,TEME,UTC,SGP4,2026-06-19 01:55:18.932736,15.70846366,0.00026389,43.0034,96.9221,271.2056,88.8509,0,U,62916,999,7913,0.00090375652000,0.00117205,0.0000000000000,6734.614,91.670,358.256,354.702,PAYLOAD,LARGE,US,2025-02-08,AFETR,,5255912,330700082,0 STARLINK-11430,1 62916U 25027K   26170.08008024  .00117205  00000-0  90376-3 0  9992,2 62916  43.0034  96.9221 0002639 271.2056  88.8509 15.70846366 79136
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-31933,2024-098S,EARTH,TEME,UTC,SGP4,2026-06-19 01:59:22.274016,15.27583406,0.00004244,43.0063,65.3213,297.3847,62.6961,0,U,59874,999,11735,0.00005589911500,0.00001277,0.0000000000000,6861.176,94.267,483.332,482.750,PAYLOAD,LARGE,US,2024-05-24,AFETR,,5255912,330697794,0 STARLINK-31933,1 59874U 24098S   26170.08289669  .00001277  00000-0  55899-4 0  9997,2 59874  43.0063  65.3213 0000424 297.3847  62.6961 15.27583406117359
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-34878,2025-189M,EARTH,TEME,UTC,SGP4,2026-06-19 01:59:45.505248,15.31708891,0.00010547,53.1591,95.5683,108.6670,251.4446,0,U,65334,999,4663,0.00086329536000,0.00026527,0.0000000000000,6848.850,94.013,471.438,469.993,PAYLOAD,LARGE,US,2025-08-27,AFETR,,5255912,330702704,0 STARLINK-34878,1 65334U 25189M   26170.08316557  .00026527  00000-0  86330-3 0  9992,2 65334  53.1591  95.5683 0001055 108.6670 251.4446 15.31708891 46630
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-3950,2022-086Y,EARTH,TEME,UTC,SGP4,2026-06-19 02:04:22.879488,15.08833441,0.00013638,53.1607,98.8278,86.1018,274.0129,0,U,53264,999,21637,0.00002168958700,0.00000057,0.0000000000000,6917.900,95.438,540.709,538.822,PAYLOAD,LARGE,US,2022-07-24,AFETR,,5255912,330692824,0 STARLINK-3950,1 53264U 22086Y   26170.08637592  .00000057  00000-0  21690-4 0  9998,2 53264  53.1607  98.8278 0001364  86.1018 274.0129 15.08833441216375
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-30568,2023-158A,EARTH,TEME,UTC,SGP4,2026-06-19 02:14:57.870240,15.27577232,0.00014616,43.0012,174.7784,264.0459,96.0226,0,U,58051,999,14906,0.00003587934300,0.00000725,0.0000000000000,6861.194,94.267,484.062,482.057,PAYLOAD,LARGE,US,2023-10-13,AFETR,,5255912,330695553,0 STARLINK-30568,1 58051U 23158A   26170.09372535  .00000725  00000-0  35879-4 0  9998,2 58051  43.0012 174.7784 0001462 264.0459  96.0226 15.27577232149068
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-35671,2025-257N,EARTH,TEME,UTC,SGP4,2026-06-19 02:18:10.473984,15.30208564,0.00012651,53.1593,105.6902,83.9651,276.1494,0,U,66392,999,3526,0.00079071272000,0.00023139,0.0000000000000,6853.326,94.105,476.059,474.324,PAYLOAD,LARGE,US,2025-11-08,AFETR,,5255912,330703212,0 STARLINK-35671,1 66392U 25257N   26170.09595456  .00023139  00000-0  79071-3 0  9991,2 66392  53.1593 105.6902 0001265  83.9651 276.1494 15.30208564 35266
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-06-19T11:14:33,18 SPCS,STARLINK-32694,2025-003H,EARTH,TEME,UTC,SGP4,2026-06-19 02:19:31.597536,15.27598392,0.00011817,43.0010,76.0027,269.1502,90.9214,0,U,62494,999,8218,0.00057914572000,0.00015718,0.0000000000000,6861.131,94.266,483.807,482.185,PAYLOAD,LARGE,US,2025-01-06,AFETR,,5255912,330699893,0 STARLINK-32694,1 62494U 25003H   26170.09689349  .00015718  00000-0  57915-3 0  9991,2 62494  43.0010  76.0027 0001182 269.1502  90.9214 15.27598392 82189
